Ensemble_ID,Intensity,Intensity_Rank,Density,Density_Rank,Energy,Energy_Rank,Exp_Level,Exp_Rank,Avg_Count,Count_Rank,Avg_TPM,TPM_Rank
ENSMUSG00000030359,129.1187016,11774,0.0015627,11703,0.201773,11701,5837.417027,9545,0.0194105,13220,0.003655444,13102
ENSMUSG00000020804,121.125492,14928,0.00259176,10320,0.313928,10521,3429.360912,15556,0,15356,0,15356
ENSMUSG00000025375,157.4055009,1147,0.0775183,862,12.2019,796,9914.315809,725,0.164208131,12148,0.050125439,11211
ENSMUSG00000015243,128.4928355,12100,0.0049294,8449,0.633394,8475,7331.748009,4262,0.578300625,10440,0.1032445,10010
ENSMUSG00000028125,138.555769,6167,0.0108622,6138,1.50503,5975,4303.887558,13896,2.400026875,7824,0.159113563,9136
ENSMUSG00000026944,149.3560886,2352,0.0978205,443,14.61,511,9911.251671,728,5.093797188,6376,0.988911563,5085
ENSMUSG00000031333,118.5377201,15485,0.000312482,14956,0.0370409,15150,3142.664227,16066,0.3005825,11428,0.071475938,10651
ENSMUSG00000024030,132.7743098,9670,0.0257732,3598,3.42202,3677,7149.400738,4793,1.025209375,9481,0.111127562,9857
ENSMUSG00000058835,139.7624331,5535,0.0462225,2026,6.46016,2058,7744.735881,3248,69.3315279,2625,3.267603238,3162
ENSMUSG00000026842,144.4747116,3609,0.030653,3104,4.42858,2973,7645.383126,3453,1.327463125,8972,0.2064055,8549
ENSMUSG00000026596,127.3973757,12626,0.006312,7678,0.804133,7751,5339.338517,11307,0.071501625,12792,0.012560088,12597
ENSMUSG00000026003,167.739807,452,0.0245795,3745,4.12295,3176,9097.890097,1301,18.35307286,4286,4.122132554,2828
ENSMUSG00000062908,135.8327325,7773,0.000592131,13834,0.0804305,13808,6439.952878,7248,7.914020625,5570,3.325847188,3137
ENSMUSG00000018574,139.3055435,5753,0.0375375,2581,5.22917,2556,6505.458169,7010,0,15356,0,15356
ENSMUSG00000029545,124.9861171,13688,0.0111126,6063,1.38893,6222,4747.327628,12933,0.6390125,10281,0.17347625,8933
ENSMUSG00000027822,126.0801714,13253,0.0118043,5883,1.4883,6004,6459.022632,7177,21.28223688,4082,1.193427313,4733
ENSMUSG00000020704,123.1080086,14355,0.0176462,4691,2.17238,4933,4083.799978,14358,235.1003063,1483,9.3636525,1820
ENSMUSG00000023017,152.3069484,1811,0.0797664,809,12.149,804,10435.21434,505,1.280383837,9035,0.044634754,11388
ENSMUSG00000020681,136.8987881,7132,0.00552943,8123,0.756977,7941,6721.859529,6251,0.290153539,11462,0.04730895,11306
ENSMUSG00000023328,149.6852014,2286,0.131597,101,19.6982,185,9045.089039,1342,0,15356,0,15356
ENSMUSG00000074336,124.7937009,13768,0.000222141,15463,0.0277218,15565,4118.983936,14284,10.77889562,5087,0.555989312,6327
ENSMUSG00000028649,143.560584,3906,0.0612987,1384,8.80012,1422,8254.707917,2296,33.11204744,3476,1.239865267,4657
ENSMUSG00000028405,126.659427,12963,0.0298832,3173,3.78498,3383,4735.6005,12957,0,15356,0,15356
ENSMUSG00000022477,159.0464295,981,0.0915891,547,14.5669,513,10382.09674,530,0.230611875,11780,0.057576688,11018
ENSMUSG00000020777,134.3914375,8695,0.037078,2616,4.98296,2689,6376.473827,7483,1539.6715,276,39.7485125,675
ENSMUSG00000044573,129.2995861,11681,0.015514,5070,2.00595,5170,6284.829804,7828,0,15356,0,15356
ENSMUSG00000002103,125.7587173,13391,0.000350037,14781,0.0440202,14870,4503.433166,13481,0.154006875,12196,0.18355625,8815
ENSMUSG00000001348,151.8081576,1897,2.00E-05,16982,0.00303319,16963,4932.189727,12463,2.685866875,7596,0.213118188,8471
ENSMUSG00000022622,146.4791079,3070,0.00511598,8344,0.749382,7974,7747.240414,3236,0.8751375,9763,0.140491875,9370
ENSMUSG00000027107,116.4477551,15902,0.000358802,14733,0.0417817,14959,2713.090387,16711,25.2556175,3848,0.60294425,6165
ENSMUSG00000027577,130.0067628,11298,0.0232272,3897,3.0197,3995,3581.335945,15268,0,15356,0,15356
ENSMUSG00000031491,150.6896246,2100,0.00348548,9523,0.525224,9068,3816.258082,14842,63.9375,2711,2.2111865,3696
ENSMUSG00000030525,148.6294997,2507,0.00768213,7097,1.14179,6761,6356.323719,7553,6.019265,6068,0.194194056,8672
ENSMUSG00000041189,122.9926629,14392,0.000885081,13024,0.108859,13164,3060.329116,16222,0.02012275,13218,0.009898,12728
ENSMUSG00000027950,119.7669851,15218,0.0110242,6094.5,1.32033,6340,3928.927021,14656,345.2177875,1143,5.371240625,2489
ENSMUSG00000026251,109.7463471,16907,0.00829399,6885,0.910234,7384.5,2883.170484,16478,1.10E-06,13375,3.40E-08,13373
ENSMUSG00000014609,113.6672069,16379,0.00340283,9588,0.38679,9914,3266.207561,15852,0.1875,12027,0.04225125,11444
ENSMUSG00000026253,118.4030175,15519,0.00171255,11480,0.202771,11680,3769.763719,14923,0,15356,0,15356
ENSMUSG00000022878,137.3525537,6878,0.0363263,2667,4.98952,2682,6006.735551,8901,0,15356,0,15356
ENSMUSG00000032110,125.8064516,13371,7.15E-05,16523,0.00899619,16582,4798.76822,12811,1.531350625,8711,0.050148919,11209
ENSMUSG00000031972,148.9766586,2436,0.125393,142,18.6806,219,6518.782727,6956,0,15356,0,15356
ENSMUSG00000029580,161.5216528,790,0.165549,17,26.7398,32,10154.68834,618,0.54004375,10554,0.09072775,10249
ENSMUSG00000068614,134.4405092,8673,0.110648,279,14.8756,489,5504.855078,10741,0.25,11664,0.180573875,8847
ENSMUSG00000062825,152.6824455,1738,0.0741182,957,11.3165,918,8688.994055,1691,11639.18875,10,701.094625,36
ENSMUSG00000059430,147.2087907,2855,0.0862019,651,12.6897,728,7157.232653,4763,0,15356,0,15356
ENSMUSG00000070979,127.9093059,12378,0.00135421,12040,0.173216,12065,4881.292172,12600,0,15356,0,15356
ENSMUSG00000070980,119.2716179,15319,9.68E-05,16317,0.0115417,16419,4600.088419,13276,0,15356,0,15356
