Ensembl_gene_ID,Intensity,Density,Energy,Avg_Count,Avg_TPM
ENSMUSG00000030359,129.1187016,0.0015627,0.201773,0.0194105,0.003655444
ENSMUSG00000020804,121.125492,0.00259176,0.313928,0,0
ENSMUSG00000025375,157.4055009,0.0775183,12.2019,0.164208131,0.050125439
ENSMUSG00000015243,128.4928355,0.0049294,0.633394,0.578300625,0.1032445
ENSMUSG00000028125,138.555769,0.0108622,1.50503,2.400026875,0.159113563
ENSMUSG00000026944,149.3560886,0.0978205,14.61,5.093797188,0.988911563
ENSMUSG00000031333,118.5377201,0.000312482,0.0370409,0.3005825,0.071475938
ENSMUSG00000024030,132.7743098,0.0257732,3.42202,1.025209375,0.111127562
ENSMUSG00000058835,139.7624331,0.0462225,6.46016,69.3315279,3.267603238
ENSMUSG00000026842,144.4747116,0.030653,4.42858,1.327463125,0.2064055
ENSMUSG00000026596,127.3973757,0.006312,0.804133,0.071501625,0.012560088
ENSMUSG00000026003,167.739807,0.0245795,4.12295,18.35307286,4.122132554
ENSMUSG00000062908,135.8327325,0.000592131,0.0804305,7.914020625,3.325847188
ENSMUSG00000018574,139.3055435,0.0375375,5.22917,0,0
ENSMUSG00000029545,124.9861171,0.0111126,1.38893,0.6390125,0.17347625
ENSMUSG00000027822,126.0801714,0.0118043,1.4883,21.28223688,1.193427313
ENSMUSG00000020704,123.1080086,0.0176462,2.17238,235.1003063,9.3636525
ENSMUSG00000023017,152.3069484,0.0797664,12.149,1.280383837,0.044634754
ENSMUSG00000020681,136.8987881,0.00552943,0.756977,0.290153539,0.04730895
ENSMUSG00000023328,149.6852014,0.131597,19.6982,0,0
ENSMUSG00000074336,124.7937009,0.000222141,0.0277218,10.77889562,0.555989312
ENSMUSG00000028649,143.560584,0.0612987,8.80012,33.11204744,1.239865267
ENSMUSG00000028405,126.659427,0.0298832,3.78498,0,0
ENSMUSG00000022477,159.0464295,0.0915891,14.5669,0.230611875,0.057576688
ENSMUSG00000020777,134.3914375,0.037078,4.98296,1539.6715,39.7485125
ENSMUSG00000044573,129.2995861,0.015514,2.00595,0,0
ENSMUSG00000002103,125.7587173,0.000350037,0.0440202,0.154006875,0.18355625
ENSMUSG00000001348,151.8081576,2.00E-05,0.00303319,2.685866875,0.213118188
ENSMUSG00000022622,146.4791079,0.00511598,0.749382,0.8751375,0.140491875
ENSMUSG00000027107,116.4477551,0.000358802,0.0417817,25.2556175,0.60294425
ENSMUSG00000027577,130.0067628,0.0232272,3.0197,0,0
ENSMUSG00000031491,150.6896246,0.00348548,0.525224,63.9375,2.2111865
ENSMUSG00000030525,148.6294997,0.00768213,1.14179,6.019265,0.194194056
ENSMUSG00000041189,122.9926629,0.000885081,0.108859,0.02012275,0.009898
ENSMUSG00000027950,119.7669851,0.0110242,1.32033,345.2177875,5.371240625
ENSMUSG00000026251,109.7463471,0.00829399,0.910234,1.10E-06,3.40E-08
ENSMUSG00000014609,113.6672069,0.00340283,0.38679,0.1875,0.04225125
ENSMUSG00000026253,118.4030175,0.00171255,0.202771,0,0
ENSMUSG00000022878,137.3525537,0.0363263,4.98952,0,0
ENSMUSG00000032110,125.8064516,7.15E-05,0.00899619,1.531350625,0.050148919
ENSMUSG00000031972,148.9766586,0.125393,18.6806,0,0
