From	To	Species	Gene Name
75593	ENSMUSG00000029815	Mus musculus	mitochondrial assembly of ribosomal large subunit 1(Malsu1)
225055	ENSMUSG00000005371	Mus musculus	F-box protein 11(Fbxo11)
75599	ENSMUSG00000051375	Mus musculus	protocadherin 1(Pcdh1)
75596	ENSMUSG00000021347	Mus musculus	prolactin family 7, subfamily b, member 1(Prl7b1)
22526	ENSMUSG00000094624	Mus musculus	predicted gene 4836(Gm4836)
75597	ENSMUSG00000068184	Mus musculus	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, assembly factor 2(Ndufaf2)
69665	ENSMUSG00000006143	Mus musculus	uroplakin 3B-like(Upk3bl)
69664	ENSMUSG00000047253	Mus musculus	keratin associated protein 1-5(Krtap1-5)
69663	ENSMUSG00000029504	Mus musculus	DEAD (Asp-Glu-Ala-Asp) box polypeptide 51(Ddx51)
69668	ENSMUSG00000042111	Mus musculus	coiled-coil domain containing 115(Ccdc115)
69661	ENSMUSG00000050704	Mus musculus	RIKEN cDNA 2310061N02 gene(2310061N02Rik)
69662	ENSMUSG00000050705	Mus musculus	RIKEN cDNA 2310061I04 gene(2310061I04Rik)
69660	ENSMUSG00000006301	Mus musculus	transmembrane BAX inhibitor motif containing 1(Tmbim1)
218756	ENSMUSG00000021733	Mus musculus	solute carrier family 4, sodium bicarbonate cotransporter, member 7(Slc4a7)
75590	ENSMUSG00000031383	Mus musculus	dual specificity phosphatase 9(Dusp9)
225049	ENSMUSG00000036918	Mus musculus	tetratricopeptide repeat domain 7(Ttc7)
75581	ENSMUSG00000029158	Mus musculus	Yip1 domain family, member 7(Yipf7)
69675	ENSMUSG00000020674	Mus musculus	peroxidasin(Pxdn)
107656	ENSMUSG00000051617	Mus musculus	keratin 9(Krt9)
69674	ENSMUSG00000020743	Mus musculus	MIF4G domain containing(Mif4gd)
434377	ENSMUSG00000045519	Mus musculus	zinc finger protein 560(Zfp560)
69677	ENSMUSG00000026985	Mus musculus	interleukin 1 family, member 8(Il1f8)
107652	ENSMUSG00000026670	Mus musculus	UDP-N-acetylglucosamine pyrophosphorylase 1(Uap1)
107650	ENSMUSG00000038861	Mus musculus	phosphatidylinositol 4-kinase, catalytic, beta polypeptide(Pi4kb)
69671	ENSMUSG00000023153	Mus musculus	transmembrane protein 52(Tmem52)
100737	ENSMUSG00000051674	Mus musculus	DCN1, defective in cullin neddylation 1, domain containing 4 (S. cerevisiae)(Dcun1d4)
69672	ENSMUSG00000021497	Mus musculus	thioredoxin domain containing 15(Txndc15)
100732	ENSMUSG00000029166	Mus musculus	microtubule-associated protein, RP/EB family, member 3(Mapre3)
218763	ENSMUSG00000045201	Mus musculus	leucine rich repeat containing 3B(Lrrc3b)
75580	ENSMUSG00000018750	Mus musculus	zinc finger and BTB domain containing 4(Zbtb4)
75577	ENSMUSG00000024512	Mus musculus	dynactin associated protein(Dynap)
75572	ENSMUSG00000060923	Mus musculus	acylphosphatase 2, muscle type(Acyp2)
75573	ENSMUSG00000009210	Mus musculus	proline rich 29(Prr29)
75570	ENSMUSG00000026162	Mus musculus	nonhomologous end-joining factor 1(Nhej1)
75571	ENSMUSG00000021590	Mus musculus	spermatogenesis associated 9(Spata9)
215615	ENSMUSG00000041926	Mus musculus	arginyl aminopeptidase (aminopeptidase B)(Rnpep)
69642	ENSMUSG00000032355	Mus musculus	muscular LMNA-interacting protein(Mlip)
75578	ENSMUSG00000028573	Mus musculus	FGGY carbohydrate kinase domain containing(Fggy)
69641	ENSMUSG00000037957	Mus musculus	WD repeat domain 20(Wdr20)
100727	ENSMUSG00000029260	Mus musculus	UDP glucuronosyltransferase 2 family, polypeptide B34(Ugt2b34)
69640	ENSMUSG00000042377	Mus musculus	family with sequence similarity 83, member G(Fam83g)
333433	ENSMUSG00000050627	Mus musculus	glycerol-3-phosphate dehydrogenase 1-like(Gpd1l)
208583	ENSMUSG00000035032	Mus musculus	NIMA (never in mitosis gene a)-related expressed kinase 11(Nek11)
218772	ENSMUSG00000017491	Mus musculus	retinoic acid receptor, beta(Rarb)
75563	ENSMUSG00000042707	Mus musculus	dynein, axonemal, light intermediate polypeptide 1(Dnali1)
75564	ENSMUSG00000023966	Mus musculus	radial spoke head 9 homolog (Chlamydomonas)(Rsph9)
75565	ENSMUSG00000030714	Mus musculus	SAGA complex associated factor 29(Sgf29)
75560	ENSMUSG00000029505	Mus musculus	E1A binding protein p400(Ep400)
69656	ENSMUSG00000031379	Mus musculus	pirin(Pir)
69659	ENSMUSG00000097102	Mus musculus	RIKEN cDNA 2310069G16 gene(2310069G16Rik)
215627	ENSMUSG00000048485	Mus musculus	zinc finger and BTB domain containing 8b(Zbtb8b)
63913	ENSMUSG00000026483	Mus musculus	family with sequence similarity 129, member A(Fam129a)
75568	ENSMUSG00000039676	Mus musculus	calcyphosine-like(Capsl)
69655	ENSMUSG00000028865	Mus musculus	CD164 sialomucin-like 2(Cd164l2)
69654	ENSMUSG00000025410	Mus musculus	dynactin 2(Dctn2)
194231	ENSMUSG00000028841	Mus musculus	connector enhancer of kinase suppressor of Ras 1(Cnksr1)
215632	ENSMUSG00000026979	Mus musculus	pleckstrin and Sec7 domain containing 4(Psd4)
100715	ENSMUSG00000042167	Mus musculus	PAP associated domain containing 4(Papd4)
333424	ENSMUSG00000037953	Mus musculus	alpha-1,4-N-acetylglucosaminyltransferase(A4gnt)
100710	ENSMUSG00000034021	Mus musculus	PDS5 cohesin associated factor B(Pds5b)
194237	ENSMUSG00000048899	Mus musculus	ribosomal modification protein rimK-like family member A(Rimkla)
434341	ENSMUSG00000074151	Mus musculus	NLR family, CARD domain containing 5(Nlrc5)
69629	ENSMUSG00000100550	Mus musculus	RIKEN cDNA 2310039L15 gene(2310039L15Rik)
69627	ENSMUSG00000043068	Mus musculus	family with sequence similarity 89, member A(Fam89a)
225010	ENSMUSG00000054469	Mus musculus	lysocardiolipin acyltransferase 1(Lclat1)
208518	ENSMUSG00000041491	Mus musculus	centrosomal protein 78(Cep78)
63959	ENSMUSG00000023942	Mus musculus	solute carrier family 29 (nucleoside transporters), member 1(Slc29a1)
215641	ENSMUSG00000067649	Mus musculus	melanoma antigen family B, 18(Mageb18)
69632	ENSMUSG00000059495	Mus musculus	Rho guanine nucleotide exchange factor (GEF) 12(Arhgef12)
69634	ENSMUSG00000025545	Mus musculus	citrate lyase beta like(Clybl)
69635	ENSMUSG00000021559	Mus musculus	death associated protein kinase 1(Dapk1)
69639	ENSMUSG00000027752	Mus musculus	exosome component 8(Exosc8)
194219	ENSMUSG00000047518	Mus musculus	schlafen like 1(Slfnl1)
215654	ENSMUSG00000040452	Mus musculus	cadherin 12(Cdh12)
434325	ENSMUSG00000043664	Mus musculus	transmembrane protein 221(Tmem221)
215653	ENSMUSG00000027339	Mus musculus	Ras association (RalGDS/AF-6) domain family member 2(Rassf2)
67387	ENSMUSG00000026111	Mus musculus	unc-50 homolog (C. elegans)(Unc50)
67388	ENSMUSG00000027637	Mus musculus	RIKEN cDNA 1110008F13 gene(1110008F13Rik)
69601	ENSMUSG00000026883	Mus musculus	disabled 2 interacting protein(Dab2ip)
107684	ENSMUSG00000028337	Mus musculus	coronin, actin binding protein 2A(Coro2a)
67389	ENSMUSG00000023571	Mus musculus	family with sequence similarity 132, member A(Fam132a)
69602	ENSMUSG00000018862	Mus musculus	otopetrin 3(Otop3)
107686	ENSMUSG00000040824	Mus musculus	small nuclear ribonucleoprotein D2(Snrpd2)
225030	ENSMUSG00000045053	Mus musculus	potassium voltage-gated channel, subfamily G, member 3(Kcng3)
69608	ENSMUSG00000039234	Mus musculus	Sec24 related gene family, member D (S. cerevisiae)(Sec24d)
69605	ENSMUSG00000009207	Mus musculus	ER junction formation factor 1(Lnpk1)
69606	ENSMUSG00000059183	Mus musculus	mitochondrial methionyl-tRNA formyltransferase(Mtfmt)
100763	ENSMUSG00000039000	Mus musculus	ubiquitin protein ligase E3C(Ube3c)
225027	ENSMUSG00000024097	Mus musculus	serine/arginine-rich splicing factor 7(Srsf7)
225028	ENSMUSG00000024242	Mus musculus	mitogen-activated protein kinase kinase kinase kinase 3(Map4k3)
218734	ENSMUSG00000033111	Mus musculus	RIKEN cDNA 3830406C13 gene(3830406C13Rik)
100764	ENSMUSG00000029600	Mus musculus	RBPJ interacting and tubulin associated 1(Rita1)
195733	ENSMUSG00000020656	Mus musculus	grainyhead-like 1 (Drosophila)(Grhl1)
67381	ENSMUSG00000022109	Mus musculus	mediator complex subunit 4(Med4)
67383	ENSMUSG00000024726	Mus musculus	carnosine N-methyltransferase 1(Carnmt1)
67382	ENSMUSG00000026918	Mus musculus	bromodomain containing 3(Brd3)
67384	ENSMUSG00000037316	Mus musculus	BCL2-associated athanogene 4(Bag4)
67399	ENSMUSG00000021493	Mus musculus	PDZ and LIM domain 7(Pdlim7)
69612	ENSMUSG00000022992	Mus musculus	KAT8 regulatory NSL complex subunit 2(Kansl2)
63954	ENSMUSG00000028996	Mus musculus	retinol binding protein 7, cellular(Rbp7)
63953	ENSMUSG00000039384	Mus musculus	dual specificity phosphatase 10(Dusp10)
67397	ENSMUSG00000029616	Mus musculus	endoplasmic reticulum protein 29(Erp29)
67398	ENSMUSG00000032042	Mus musculus	signal recognition particle receptor ('docking protein')(Srpr)
63958	ENSMUSG00000028960	Mus musculus	ubiquitination factor E4B(Ube4b)
434353	ENSMUSG00000097960	Mus musculus	RIKEN cDNA A330074K22 gene(A330074K22Rik)
69611	ENSMUSG00000103243	Mus musculus	late cornified envelope 1D(Lce1d)
63955	ENSMUSG00000040957	Mus musculus	CDK5 and Abl enzyme substrate 1(Cables1)
225020	ENSMUSG00000056121	Mus musculus	fasciculation and elongation protein zeta 2 (zygin II)(Fez2)
218739	ENSMUSG00000044772	Mus musculus	sentan, cilia apical structure protein(Sntn)
69617	ENSMUSG00000021193	Mus musculus	pitrilysin metallepetidase 1(Pitrm1)
195727	ENSMUSG00000059493	Mus musculus	Nance-Horan syndrome (human)(Nhs)
100756	ENSMUSG00000029592	Mus musculus	ubiquitin specific peptidase 30(Usp30)
67392	ENSMUSG00000062822	Mus musculus	RIKEN cDNA 4833420G17 gene(4833420G17Rik)
67391	ENSMUSG00000031198	Mus musculus	FUN14 domain containing 2(Fundc2)
67390	ENSMUSG00000038046	Mus musculus	RNA methyltransferase like 1(Rnmtl1)
67395	ENSMUSG00000045217	Mus musculus	protein phosphatase 1, regulatory (inhibitor) subunit 2, pseudogene 9(Ppp1r2-ps9)
67393	ENSMUSG00000046668	Mus musculus	CXXC finger 5(Cxxc5)
214552	ENSMUSG00000043987	Mus musculus	centrosomal protein 164(Cep164)
209212	ENSMUSG00000041153	Mus musculus	oxidative stress induced growth inhibitor family member 2(Osgin2)
278180	ENSMUSG00000044206	Mus musculus	V-set and immunoglobulin domain containing 4(Vsig4)
214547	ENSMUSG00000046280	Mus musculus	src homology 2 domain-containing transforming protein E(She)
22592	ENSMUSG00000026048	Mus musculus	excision repair cross-complementing rodent repair deficiency, complementation group 5(Ercc5)
