NCBI gene ID	Gene stable ID
	ENSMUSG00000064336
	ENSMUSG00000064337
	ENSMUSG00000064338
	ENSMUSG00000064339
	ENSMUSG00000064340
17716	ENSMUSG00000064341
	ENSMUSG00000064342
	ENSMUSG00000064343
	ENSMUSG00000064344
17717	ENSMUSG00000064345
	ENSMUSG00000064346
	ENSMUSG00000064347
	ENSMUSG00000064348
	ENSMUSG00000064349
	ENSMUSG00000064350
17708	ENSMUSG00000064351
	ENSMUSG00000064352
	ENSMUSG00000064353
17709	ENSMUSG00000064354
	ENSMUSG00000064355
17706	ENSMUSG00000064356
17705	ENSMUSG00000064357
17710	ENSMUSG00000064358
	ENSMUSG00000064359
17718	ENSMUSG00000064360
	ENSMUSG00000064361
17720	ENSMUSG00000065947
17719	ENSMUSG00000064363
	ENSMUSG00000064364
	ENSMUSG00000064365
	ENSMUSG00000064366
17721	ENSMUSG00000064367
17722	ENSMUSG00000064368
	ENSMUSG00000064369
17711	ENSMUSG00000064370
	ENSMUSG00000064371
	ENSMUSG00000064372
	ENSMUSG00000113833
	ENSMUSG00000112307
	ENSMUSG00000100862
	ENSMUSG00000083892
	ENSMUSG00000110395
	ENSMUSG00000081117
	ENSMUSG00000102511
	ENSMUSG00000106324
	ENSMUSG00000099694
258875	ENSMUSG00000096427
245450	ENSMUSG00000036790
	ENSMUSG00000099653
	ENSMUSG00000103416
546964	ENSMUSG00000091926
	ENSMUSG00000100884
	ENSMUSG00000106285
	ENSMUSG00000103463
	ENSMUSG00000080698
26895	ENSMUSG00000026240
19208	ENSMUSG00000036858
	ENSMUSG00000083907
	ENSMUSG00000094258
	ENSMUSG00000110816
	ENSMUSG00000112462
14860	ENSMUSG00000032348
	ENSMUSG00000109192
18477	ENSMUSG00000028691
	ENSMUSG00000106398
	ENSMUSG00000103962
	ENSMUSG00000082578
15560	ENSMUSG00000041380
258620	ENSMUSG00000050015
	ENSMUSG00000104834
227717	ENSMUSG00000043102
	ENSMUSG00000115336
	ENSMUSG00000070111
664804	ENSMUSG00000073117
27967	ENSMUSG00000052488
	ENSMUSG00000104527
76916	ENSMUSG00000002846
	ENSMUSG00000110065
78785	ENSMUSG00000024059
107271	ENSMUSG00000028811
	ENSMUSG00000091390
	ENSMUSG00000111632
	ENSMUSG00000099576
	ENSMUSG00000099618
66917	ENSMUSG00000001774
	ENSMUSG00000091933
	ENSMUSG00000105718
257919	ENSMUSG00000066242
	ENSMUSG00000106616
224912	ENSMUSG00000044279
	ENSMUSG00000103028
	ENSMUSG00000103530
	ENSMUSG00000100523
	ENSMUSG00000109683
	ENSMUSG00000112827
235312	ENSMUSG00000079592
	ENSMUSG00000115606
	ENSMUSG00000100875
	ENSMUSG00000102789
	ENSMUSG00000103210
	ENSMUSG00000105579
	ENSMUSG00000093554
	ENSMUSG00000086696
	ENSMUSG00000104588
	ENSMUSG00000095005
108168524	ENSMUSG00000096902
108168530	ENSMUSG00000096902
108168532	ENSMUSG00000096902
	ENSMUSG00000085122
	ENSMUSG00000083180
	ENSMUSG00000058622
	ENSMUSG00000109900
	ENSMUSG00000104466
	ENSMUSG00000081298
	ENSMUSG00000106231
	ENSMUSG00000053980
239250	ENSMUSG00000045871
	ENSMUSG00000103324
	ENSMUSG00000105978
	ENSMUSG00000081852
	ENSMUSG00000085488
100503481	ENSMUSG00000087358
100504404	ENSMUSG00000036322
626315	ENSMUSG00000096374
100043536	ENSMUSG00000096386
	ENSMUSG00000100998
	ENSMUSG00000095710
	ENSMUSG00000104120
50873	ENSMUSG00000023826
246709	ENSMUSG00000051079
100042337	ENSMUSG00000103023
	ENSMUSG00000084369
258295	ENSMUSG00000058188
	ENSMUSG00000111951
	ENSMUSG00000081467
20472	ENSMUSG00000024134
	ENSMUSG00000085870
	ENSMUSG00000092225
	ENSMUSG00000083513
	ENSMUSG00000111814
270201	ENSMUSG00000054792
	ENSMUSG00000098744
	ENSMUSG00000090872
30942	ENSMUSG00000017688
	ENSMUSG00000115323
665780	ENSMUSG00000095339
	ENSMUSG00000105422
	ENSMUSG00000054135
	ENSMUSG00000113747
	ENSMUSG00000100117
100040268	ENSMUSG00000111611
	ENSMUSG00000076477
17217	ENSMUSG00000022673
12140	ENSMUSG00000019874
	ENSMUSG00000100025
625068	ENSMUSG00000070601
71924	ENSMUSG00000019845
	ENSMUSG00000116017
234130	ENSMUSG00000031535
	ENSMUSG00000092191
15926	ENSMUSG00000025950
69215	ENSMUSG00000069835
	ENSMUSG00000103689
381072	ENSMUSG00000035435
100039815	ENSMUSG00000112022
	ENSMUSG00000083859
170740	ENSMUSG00000005267
	ENSMUSG00000115547
19418	ENSMUSG00000021708
	ENSMUSG00000055198
258264	ENSMUSG00000057179
66659	ENSMUSG00000028093
15202	ENSMUSG00000068600
	ENSMUSG00000093429
100042968	ENSMUSG00000094545
	ENSMUSG00000084055
	ENSMUSG00000100188
	ENSMUSG00000081605
19671	ENSMUSG00000024889
	ENSMUSG00000081706
547431	ENSMUSG00000024340
	ENSMUSG00000081214
	ENSMUSG00000099692
	ENSMUSG00000103260
	ENSMUSG00000083249
	ENSMUSG00000040540
	ENSMUSG00000085323
	ENSMUSG00000100418
243547	ENSMUSG00000030098
20388	ENSMUSG00000056370
	ENSMUSG00000085452
258746	ENSMUSG00000042909
	ENSMUSG00000086423
72726	ENSMUSG00000036430
207792	ENSMUSG00000033722
171531	ENSMUSG00000026303
	ENSMUSG00000110242
98970	ENSMUSG00000026841
75410	ENSMUSG00000006307
	ENSMUSG00000081631
68916	ENSMUSG00000006191
241201	ENSMUSG00000026312
	ENSMUSG00000106059
621080	ENSMUSG00000074384
100040563	ENSMUSG00000000579
259057	ENSMUSG00000044899
74164	ENSMUSG00000028423
20523	ENSMUSG00000031105
18578	ENSMUSG00000028525
78369	ENSMUSG00000001014
	ENSMUSG00000113693
	ENSMUSG00000110881
	ENSMUSG00000099797
623734	ENSMUSG00000092048
	ENSMUSG00000100402
	ENSMUSG00000087266
74424	ENSMUSG00000030650
110115	ENSMUSG00000075604
269878	ENSMUSG00000045039
	ENSMUSG00000091268
13835	ENSMUSG00000029859
