Ensembl_gene_ID,Density
ENSMUSG00000022892,0.220554
ENSMUSG00000072235,0.197294
ENSMUSG00000043384,0.187508
ENSMUSG00000043388,0.185079
ENSMUSG00000055430,0.18352
ENSMUSG00000058672,0.178525
ENSMUSG00000025855,0.176679
ENSMUSG00000006651,0.17604
ENSMUSG00000072423,0.175672
ENSMUSG00000039953,0.174815
ENSMUSG00000053475,0.173497
ENSMUSG00000061576,0.170381
ENSMUSG00000029223,0.170051
ENSMUSG00000037742,0.170024
ENSMUSG00000033061,0.167119
ENSMUSG00000004267,0.166229
ENSMUSG00000034187,0.166062
ENSMUSG00000029580,0.165549
ENSMUSG00000030494,0.16539
ENSMUSG00000023236,0.160049
ENSMUSG00000028690,0.159948
ENSMUSG00000028797,0.156851
ENSMUSG00000031703,0.156559
ENSMUSG00000024906,0.156293
ENSMUSG00000027222,0.154695
ENSMUSG00000029309,0.154031
ENSMUSG00000029816,0.153986
ENSMUSG00000019923,0.15313
ENSMUSG00000009114,0.152243
ENSMUSG00000039414,0.151771
ENSMUSG00000017466,0.151576
ENSMUSG00000023011,0.151281
ENSMUSG00000024121,0.151108
ENSMUSG00000035239,0.151063
ENSMUSG00000025579,0.150318
ENSMUSG00000015837,0.150086
ENSMUSG00000020483,0.149676
ENSMUSG00000021087,0.149237
ENSMUSG00000029587,0.149128
ENSMUSG00000027447,0.148829
ENSMUSG00000030058,0.148764
ENSMUSG00000024981,0.148698
ENSMUSG00000090137,0.148411
ENSMUSG00000024966,0.14823
ENSMUSG00000025393,0.148184
ENSMUSG00000030060,0.148182
ENSMUSG00000036427,0.148148
ENSMUSG00000024758,0.147483
ENSMUSG00000022037,0.147317
ENSMUSG00000023004,0.147202
ENSMUSG00000026315,0.147013
ENSMUSG00000040035,0.146563
ENSMUSG00000102252,0.146402
ENSMUSG00000070802,0.14624
ENSMUSG00000029291,0.145674
ENSMUSG00000027273,0.145607
ENSMUSG00000023944,0.145598
ENSMUSG00000068335,0.145272
ENSMUSG00000030695,0.144885
ENSMUSG00000079523,0.144307
ENSMUSG00000034024,0.144284
ENSMUSG00000020460,0.14151
ENSMUSG00000001270,0.141441
ENSMUSG00000021678,0.141127
ENSMUSG00000039278,0.140716
ENSMUSG00000041096,0.140343
ENSMUSG00000027347,0.139939
ENSMUSG00000054715,0.139369
ENSMUSG00000022199,0.139046
ENSMUSG00000011752,0.139045
ENSMUSG00000035640,0.138731
ENSMUSG00000034994,0.138358
ENSMUSG00000030270,0.137957
ENSMUSG00000020368,0.13786
ENSMUSG00000019877,0.137735
ENSMUSG00000033585,0.137445
