Ensembl_gene_ID,Energy
ENSMUSG00000022892,40.3504
ENSMUSG00000072235,38.2559
ENSMUSG00000043384,35.0811
ENSMUSG00000072423,34.0603
ENSMUSG00000055430,33.5699
ENSMUSG00000043388,32.1657
ENSMUSG00000025855,31.8966
ENSMUSG00000058672,31.8032
ENSMUSG00000004267,31.6667
ENSMUSG00000034187,31.5936
ENSMUSG00000053475,31.3689
ENSMUSG00000039953,30.9281
ENSMUSG00000030494,30.9043
ENSMUSG00000006651,30.8225
ENSMUSG00000033061,30.3426
ENSMUSG00000037742,30.0675
ENSMUSG00000029223,29.99
ENSMUSG00000061576,28.1819
ENSMUSG00000020483,28.1525
ENSMUSG00000039414,28.1324
ENSMUSG00000028690,27.6529
ENSMUSG00000035239,27.574
ENSMUSG00000024906,27.4984
ENSMUSG00000031703,27.4839
ENSMUSG00000023011,27.199
ENSMUSG00000024758,27.1489
ENSMUSG00000025393,27.1256
ENSMUSG00000029309,27.1219
ENSMUSG00000019923,27.0263
ENSMUSG00000021087,26.9681
ENSMUSG00000036427,26.9319
ENSMUSG00000023236,26.7424
ENSMUSG00000029580,26.7398
ENSMUSG00000030695,26.6695
ENSMUSG00000009114,26.6215
ENSMUSG00000027222,26.53
ENSMUSG00000030060,26.526
ENSMUSG00000015837,26.3155
ENSMUSG00000025579,26.3143
ENSMUSG00000030058,26.0726
ENSMUSG00000024981,26.0432
ENSMUSG00000102252,25.982
ENSMUSG00000029816,25.7005
ENSMUSG00000026315,25.6809
ENSMUSG00000024966,25.5356
ENSMUSG00000028797,25.475
ENSMUSG00000040035,25.4387
ENSMUSG00000029587,25.3931
ENSMUSG00000027447,25.3613
ENSMUSG00000020460,25.3441
ENSMUSG00000024121,25.2339
ENSMUSG00000070802,25.0544
ENSMUSG00000031633,25.0528
ENSMUSG00000017466,25.0067
ENSMUSG00000023004,25.0001
ENSMUSG00000034024,24.821
ENSMUSG00000030270,24.7734
ENSMUSG00000029291,24.6849
ENSMUSG00000090137,24.5412
ENSMUSG00000003437,24.4542
ENSMUSG00000011752,24.3636
ENSMUSG00000034994,24.234
ENSMUSG00000019877,24.2025
ENSMUSG00000021678,24.1173
ENSMUSG00000019230,24.0956
ENSMUSG00000074364,23.9949
ENSMUSG00000001270,23.9871
ENSMUSG00000079523,23.8797
ENSMUSG00000039278,23.8324
ENSMUSG00000068335,23.8155
ENSMUSG00000023944,23.7895
ENSMUSG00000062328,23.7737
ENSMUSG00000022037,23.7714
ENSMUSG00000026878,23.7403
ENSMUSG00000033615,23.7354
ENSMUSG00000022199,23.6725
ENSMUSG00000010311,23.6447
ENSMUSG00000041096,23.6395
ENSMUSG00000062070,23.5582
ENSMUSG00000054715,23.5477
ENSMUSG00000027273,23.4894
ENSMUSG00000020321,23.413
ENSMUSG00000032324,23.3539
ENSMUSG00000027347,23.3172
ENSMUSG00000050043,23.2562
ENSMUSG00000025151,23.1393
ENSMUSG00000031708,23.1362
ENSMUSG00000042750,23.0035
ENSMUSG00000020297,23.0023
ENSMUSG00000059743,22.8866
ENSMUSG00000017404,22.85
ENSMUSG00000039485,22.7691
ENSMUSG00000027500,22.7633
ENSMUSG00000001472,22.6721
ENSMUSG00000034390,22.6661
ENSMUSG00000033379,22.6463
ENSMUSG00000020368,22.6385
ENSMUSG00000024425,22.6281
ENSMUSG00000072966,22.6239
ENSMUSG00000024127,22.379
ENSMUSG00000020214,22.2514
ENSMUSG00000020745,22.2114
ENSMUSG00000041607,22.2056
ENSMUSG00000045362,22.135
ENSMUSG00000022054,22.0875
ENSMUSG00000024268,22.0841
ENSMUSG00000015291,22.0796
ENSMUSG00000001403,22.0736
ENSMUSG00000032011,21.9972
ENSMUSG00000031144,21.9901
ENSMUSG00000030127,21.9684
ENSMUSG00000031376,21.94
ENSMUSG00000021506,21.8469
ENSMUSG00000022661,21.8334
ENSMUSG00000071866,21.8309
ENSMUSG00000021288,21.8281
ENSMUSG00000025794,21.792
ENSMUSG00000045136,21.7577
ENSMUSG00000033981,21.7417
ENSMUSG00000053040,21.6275
ENSMUSG00000015656,21.627
ENSMUSG00000024044,21.6006
ENSMUSG00000025203,21.5963
ENSMUSG00000035640,21.5943
ENSMUSG00000026335,21.5858
ENSMUSG00000034336,21.5709
ENSMUSG00000034595,21.5703
ENSMUSG00000052727,21.5284
ENSMUSG00000060450,21.499
ENSMUSG00000021270,21.4773
ENSMUSG00000044349,21.4762
ENSMUSG00000037428,21.4048
ENSMUSG00000022884,21.3739
ENSMUSG00000038486,21.3389
ENSMUSG00000041986,21.2913
ENSMUSG00000070493,21.25
ENSMUSG00000024099,21.1909
ENSMUSG00000025468,21.1849
ENSMUSG00000026204,21.1675
ENSMUSG00000009863,21.149
ENSMUSG00000038827,21.1348
ENSMUSG00000024403,21.1329
ENSMUSG00000040097,21.1126
ENSMUSG00000093904,21.0601
ENSMUSG00000025202,21.0342
ENSMUSG00000029467,20.9689
ENSMUSG00000031996,20.9592
ENSMUSG00000010086,20.9205
ENSMUSG00000049775,20.8869
ENSMUSG00000023456,20.8411
ENSMUSG00000020219,20.7919
ENSMUSG00000054128,20.7849
ENSMUSG00000002985,20.7804
ENSMUSG00000026303,20.6864
ENSMUSG00000003814,20.5939
ENSMUSG00000051391,20.5855
ENSMUSG00000031839,20.5352
ENSMUSG00000034723,20.5215
ENSMUSG00000037259,20.4734
ENSMUSG00000057863,20.4329
ENSMUSG00000015222,20.3163
ENSMUSG00000001794,20.2873
ENSMUSG00000026605,20.2645
ENSMUSG00000030683,20.2044
ENSMUSG00000023911,20.1883
ENSMUSG00000052684,20.1878
ENSMUSG00000031425,20.1829
ENSMUSG00000030161,20.1056
ENSMUSG00000032076,20.0939
ENSMUSG00000030282,20.0854
ENSMUSG00000020430,20.0058
ENSMUSG00000002265,19.9999
ENSMUSG00000034891,19.9931
ENSMUSG00000027438,19.9294
ENSMUSG00000074129,19.9232
ENSMUSG00000069601,19.9181
ENSMUSG00000030806,19.8872
ENSMUSG00000033585,19.8621
ENSMUSG00000032309,19.8474
ENSMUSG00000006930,19.833
ENSMUSG00000027350,19.8211
ENSMUSG00000020810,19.7725
ENSMUSG00000043716,19.7657
ENSMUSG00000027490,19.7458
ENSMUSG00000032518,19.7405
ENSMUSG00000023328,19.6982
ENSMUSG00000022551,19.6688
ENSMUSG00000044533,19.6627
ENSMUSG00000029616,19.637
ENSMUSG00000026623,19.6244
ENSMUSG00000051853,19.5736
ENSMUSG00000032733,19.5563
ENSMUSG00000032288,19.51
ENSMUSG00000025867,19.4806
ENSMUSG00000020458,19.4798
ENSMUSG00000017291,19.4568
ENSMUSG00000031748,19.4456
ENSMUSG00000022564,19.4286
ENSMUSG00000025423,19.4042
ENSMUSG00000055302,19.4034
ENSMUSG00000039218,19.2958
ENSMUSG00000022956,19.2708
ENSMUSG00000007891,19.2472
ENSMUSG00000023913,19.2287
ENSMUSG00000041329,19.2137
ENSMUSG00000031575,19.1371
ENSMUSG00000069053,19.1238
ENSMUSG00000019179,18.9875
ENSMUSG00000091337,18.9871
ENSMUSG00000003970,18.9826
ENSMUSG00000023960,18.9645
ENSMUSG00000040907,18.8969
ENSMUSG00000064201,18.8689
ENSMUSG00000013921,18.8566
ENSMUSG00000032883,18.8426
ENSMUSG00000032549,18.8218
ENSMUSG00000037032,18.7584
ENSMUSG00000036564,18.7196
ENSMUSG00000034403,18.7113
ENSMUSG00000031972,18.6806
ENSMUSG00000067702,18.6767
ENSMUSG00000022967,18.6729
ENSMUSG00000022403,18.6339
ENSMUSG00000016349,18.6315
ENSMUSG00000095139,18.6292
ENSMUSG00000013367,18.6128
ENSMUSG00000031532,18.5663
ENSMUSG00000044117,18.556
ENSMUSG00000077450,18.5484
ENSMUSG00000033152,18.5399
ENSMUSG00000057455,18.5322
ENSMUSG00000021486,18.5288
ENSMUSG00000020048,18.5186
ENSMUSG00000053390,18.5176
ENSMUSG00000004865,18.5103
ENSMUSG00000013593,18.4892
ENSMUSG00000068923,18.4694
ENSMUSG00000030007,18.4653
ENSMUSG00000055065,18.4521
ENSMUSG00000054423,18.4224
ENSMUSG00000040714,18.4197
ENSMUSG00000002083,18.4012
ENSMUSG00000040048,18.3999
ENSMUSG00000024921,18.3164
ENSMUSG00000031231,18.3132
ENSMUSG00000026238,18.3094
ENSMUSG00000038510,18.2984
ENSMUSG00000032469,18.2774
ENSMUSG00000059363,18.2625
ENSMUSG00000022048,18.2624
ENSMUSG00000037217,18.2624
ENSMUSG00000028833,18.2433
ENSMUSG00000020402,18.2423
ENSMUSG00000029126,18.2041
ENSMUSG00000032399,18.2029
ENSMUSG00000021196,18.1849
ENSMUSG00000026576,18.1499
ENSMUSG00000046434,18.1454
ENSMUSG00000026667,18.1374
ENSMUSG00000003072,18.1327
ENSMUSG00000004207,18.1149
ENSMUSG00000004933,18.0897
ENSMUSG00000028618,18.0768
ENSMUSG00000006782,18.0551
ENSMUSG00000045573,18.0327
ENSMUSG00000027367,18.0081
ENSMUSG00000023915,18.0054
ENSMUSG00000030357,17.995
ENSMUSG00000024462,17.9949
ENSMUSG00000027248,17.9869
ENSMUSG00000021194,17.9724
ENSMUSG00000019194,17.954
ENSMUSG00000017390,17.9457
ENSMUSG00000005312,17.9449
ENSMUSG00000023175,17.9348
ENSMUSG00000055717,17.9262
ENSMUSG00000031007,17.9257
ENSMUSG00000039347,17.9209
ENSMUSG00000040276,17.9142
ENSMUSG00000041025,17.8933
ENSMUSG00000074657,17.8823
ENSMUSG00000059796,17.8763
ENSMUSG00000008153,17.855
ENSMUSG00000025130,17.8539
ENSMUSG00000020340,17.8448
ENSMUSG00000028528,17.7738
ENSMUSG00000021577,17.7106
ENSMUSG00000107235,17.6994
ENSMUSG00000079037,17.6952
ENSMUSG00000032305,17.6749
ENSMUSG00000031840,17.6415
ENSMUSG00000024423,17.627
ENSMUSG00000045518,17.6142
ENSMUSG00000022312,17.6116
ENSMUSG00000039601,17.5987
ENSMUSG00000020612,17.5914
ENSMUSG00000020859,17.5743
ENSMUSG00000036309,17.5532
ENSMUSG00000032046,17.5296
ENSMUSG00000025964,17.5157
ENSMUSG00000014602,17.5147
ENSMUSG00000017707,17.4837
ENSMUSG00000035783,17.474
ENSMUSG00000030909,17.4725
ENSMUSG00000024381,17.4254
ENSMUSG00000066129,17.4219
ENSMUSG00000003316,17.4215
ENSMUSG00000038860,17.4015
ENSMUSG00000030729,17.3907
ENSMUSG00000037351,17.3816
ENSMUSG00000008489,17.3696
ENSMUSG00000036452,17.3674
ENSMUSG00000032172,17.359
ENSMUSG00000001496,17.3488
ENSMUSG00000022809,17.3464
ENSMUSG00000039768,17.3211
ENSMUSG00000027012,17.295
ENSMUSG00000031066,17.293
ENSMUSG00000058546,17.2887
ENSMUSG00000008734,17.2845
ENSMUSG00000047261,17.2782
ENSMUSG00000055612,17.2671
ENSMUSG00000030884,17.2623
ENSMUSG00000028488,17.219
ENSMUSG00000054793,17.2075
ENSMUSG00000061904,17.1713
ENSMUSG00000020022,17.1158
ENSMUSG00000015806,17.1069
ENSMUSG00000016541,17.0904
ENSMUSG00000022055,17.0847
ENSMUSG00000033931,17.0293
ENSMUSG00000023169,17.0199
ENSMUSG00000026959,17.0119
ENSMUSG00000036707,16.9912
ENSMUSG00000037541,16.9784
ENSMUSG00000032826,16.9679
ENSMUSG00000026864,16.9457
ENSMUSG00000026833,16.9116
ENSMUSG00000020333,16.9113
ENSMUSG00000054452,16.9079
ENSMUSG00000026452,16.9034
ENSMUSG00000019986,16.8867
ENSMUSG00000019804,16.8531
ENSMUSG00000020923,16.8485
ENSMUSG00000009894,16.846
ENSMUSG00000026374,16.8431
ENSMUSG00000033917,16.828
ENSMUSG00000032898,16.8123
ENSMUSG00000111314,16.7998
ENSMUSG00000031672,16.7773
ENSMUSG00000071644,16.7608
ENSMUSG00000026797,16.7138
ENSMUSG00000018567,16.6909
ENSMUSG00000028745,16.6755
ENSMUSG00000026223,16.6752
ENSMUSG00000029777,16.6502
ENSMUSG00000019087,16.6456
ENSMUSG00000090841,16.644
ENSMUSG00000021700,16.6277
ENSMUSG00000079477,16.6187
ENSMUSG00000078566,16.6161
ENSMUSG00000031776,16.6161
ENSMUSG00000021939,16.5675
ENSMUSG00000031422,16.5657
ENSMUSG00000061315,16.5267
ENSMUSG00000067071,16.5128
ENSMUSG00000029608,16.5021
ENSMUSG00000066278,16.4976
ENSMUSG00000031447,16.4972
ENSMUSG00000020657,16.4849
ENSMUSG00000020153,16.4541
ENSMUSG00000025892,16.4509
ENSMUSG00000040282,16.43
ENSMUSG00000021638,16.427
ENSMUSG00000032118,16.3798
ENSMUSG00000038390,16.3577
ENSMUSG00000005683,16.351
ENSMUSG00000037098,16.343
ENSMUSG00000022789,16.3428
ENSMUSG00000041781,16.3164
ENSMUSG00000028849,16.3097
ENSMUSG00000037979,16.3078
ENSMUSG00000064360,16.2997
ENSMUSG00000053192,16.2449
ENSMUSG00000029657,16.2263
ENSMUSG00000075415,16.217
ENSMUSG00000018865,16.2113
ENSMUSG00000002844,16.2103
ENSMUSG00000004558,16.1834
ENSMUSG00000035829,16.165
ENSMUSG00000025261,16.1369
ENSMUSG00000002981,16.1267
ENSMUSG00000037509,16.1207
ENSMUSG00000022973,16.1136
ENSMUSG00000026603,16.0988
ENSMUSG00000029426,16.0764
ENSMUSG00000003363,16.0697
ENSMUSG00000102627,16.0307
ENSMUSG00000021820,16.0241
ENSMUSG00000048142,16.0052
ENSMUSG00000040225,16.0037
ENSMUSG00000028149,15.9951
ENSMUSG00000046844,15.982
ENSMUSG00000032328,15.9652
ENSMUSG00000111826,15.9173
ENSMUSG00000024012,15.9137
ENSMUSG00000024083,15.8877
ENSMUSG00000048978,15.8389
ENSMUSG00000021476,15.8236
ENSMUSG00000026664,15.8219
ENSMUSG00000082229,15.802
ENSMUSG00000019210,15.7972
ENSMUSG00000057522,15.7944
ENSMUSG00000034566,15.7841
ENSMUSG00000008206,15.7628
ENSMUSG00000000263,15.7561
ENSMUSG00000022314,15.7373
ENSMUSG00000023452,15.7306
ENSMUSG00000057093,15.7233
ENSMUSG00000066760,15.7181
ENSMUSG00000021114,15.7161
ENSMUSG00000057880,15.7123
ENSMUSG00000020456,15.6763
