Ensembl_gene_ID,Intensity
ENSMUSG00000066366,219.9412861
ENSMUSG00000059423,219.0668141
ENSMUSG00000054446,218.2459921
ENSMUSG00000057726,218.2340873
ENSMUSG00000026818,211.1614554
ENSMUSG00000053508,209.5679926
ENSMUSG00000040485,206.9120836
ENSMUSG00000008540,205.1785995
ENSMUSG00000026388,203.5442741
ENSMUSG00000072664,203.5330412
ENSMUSG00000042784,203.1567725
ENSMUSG00000061808,203.0690927
ENSMUSG00000063108,201.4449927
ENSMUSG00000026971,200.2044136
ENSMUSG00000027209,199.6263565
ENSMUSG00000028236,199.3546611
ENSMUSG00000027475,197.048753
ENSMUSG00000026919,196.7073726
ENSMUSG00000067201,196.6368902
ENSMUSG00000020420,196.2624751
ENSMUSG00000020545,194.9959704
ENSMUSG00000033313,194.6564757
ENSMUSG00000028093,194.3058378
ENSMUSG00000024529,194.0999254
ENSMUSG00000035284,194.0442454
ENSMUSG00000072235,193.9034238
ENSMUSG00000072423,193.8851836
ENSMUSG00000040390,193.5119036
ENSMUSG00000049571,193.4284824
ENSMUSG00000040950,193.0523757
ENSMUSG00000036647,192.981174
ENSMUSG00000103255,192.7428802
ENSMUSG00000034066,192.558791
ENSMUSG00000021694,191.7093252
ENSMUSG00000004668,191.6302805
ENSMUSG00000021647,191.260254
ENSMUSG00000014837,190.9803281
ENSMUSG00000030889,190.9038588
ENSMUSG00000048337,190.8796178
ENSMUSG00000031232,190.6286527
ENSMUSG00000026398,190.5227154
ENSMUSG00000004267,190.5005672
ENSMUSG00000079144,190.486105
ENSMUSG00000033615,190.4206647
ENSMUSG00000034187,190.2522346
ENSMUSG00000023206,190.1756376
ENSMUSG00000025774,188.9963979
ENSMUSG00000033860,188.5079182
ENSMUSG00000034336,188.5068909
ENSMUSG00000027403,188.2958503
ENSMUSG00000063320,188.1674764
ENSMUSG00000020483,188.0904901
ENSMUSG00000020038,188.03466
ENSMUSG00000026983,188.011303
ENSMUSG00000023064,187.9938858
ENSMUSG00000078624,187.5274725
ENSMUSG00000022949,187.4768297
ENSMUSG00000054509,187.4601321
ENSMUSG00000001472,187.1378865
ENSMUSG00000043384,187.0909038
ENSMUSG00000030494,186.8572892
ENSMUSG00000023945,186.8319674
ENSMUSG00000079428,186.8251679
ENSMUSG00000035262,186.5164075
ENSMUSG00000040383,186.2653298
ENSMUSG00000016495,186.0737017
ENSMUSG00000022673,186.0458161
ENSMUSG00000033965,185.9951642
ENSMUSG00000005716,185.8754047
ENSMUSG00000022054,185.756582
ENSMUSG00000017830,185.5920232
ENSMUSG00000026333,185.5020696
ENSMUSG00000073724,185.4800007
ENSMUSG00000042848,185.4750958
ENSMUSG00000039414,185.3609786
ENSMUSG00000061387,185.3306119
ENSMUSG00000019929,185.3228036
ENSMUSG00000020297,185.2181795
ENSMUSG00000024029,184.9634626
ENSMUSG00000039768,184.3039412
ENSMUSG00000070677,184.256336
ENSMUSG00000030666,184.2478219
ENSMUSG00000024758,184.0825236
ENSMUSG00000030695,184.0736774
ENSMUSG00000007034,183.9874487
ENSMUSG00000032487,183.6776594
ENSMUSG00000030282,183.4720434
ENSMUSG00000060450,183.4675718
ENSMUSG00000031633,183.3891551
ENSMUSG00000033147,183.3879155
ENSMUSG00000020218,183.2980687
ENSMUSG00000034452,183.1716699
ENSMUSG00000053600,183.1084225
ENSMUSG00000025393,183.0540457
ENSMUSG00000021907,183.0111832
ENSMUSG00000022892,182.9502268
ENSMUSG00000055430,182.9225408
ENSMUSG00000004655,182.7755634
ENSMUSG00000030862,182.6080197
ENSMUSG00000035239,182.5330502
ENSMUSG00000015083,182.4951209
ENSMUSG00000116208,182.4603012
ENSMUSG00000074217,182.4196597
ENSMUSG00000029304,182.379353
ENSMUSG00000068196,182.1595363
ENSMUSG00000030200,181.9868867
ENSMUSG00000024256,181.8162653
ENSMUSG00000036427,181.7911139
ENSMUSG00000098411,181.7783741
ENSMUSG00000024425,181.6782819
ENSMUSG00000025279,181.6774357
ENSMUSG00000010311,181.5909897
ENSMUSG00000033061,181.5627684
ENSMUSG00000002732,181.5323069
ENSMUSG00000021288,181.4566264
ENSMUSG00000099282,181.4530838
ENSMUSG00000026452,181.4444834
ENSMUSG00000034282,181.4164236
ENSMUSG00000045573,181.2596382
ENSMUSG00000026094,181.0803747
ENSMUSG00000074139,181.0684829
ENSMUSG00000034891,181.0351629
ENSMUSG00000032011,181.0349554
ENSMUSG00000007777,180.8602012
ENSMUSG00000053475,180.8040206
ENSMUSG00000021087,180.7068637
ENSMUSG00000020059,180.6293
ENSMUSG00000028899,180.5708635
ENSMUSG00000025855,180.5342601
ENSMUSG00000033379,180.4238181
ENSMUSG00000024907,180.4020302
ENSMUSG00000021750,180.3835874
ENSMUSG00000020396,180.2308943
ENSMUSG00000031230,180.0824717
ENSMUSG00000041536,180.0108923
ENSMUSG00000044948,179.9627373
ENSMUSG00000029650,179.8355112
ENSMUSG00000056043,179.818474
ENSMUSG00000023011,179.7909746
ENSMUSG00000055541,179.7697605
ENSMUSG00000073913,179.7387749
ENSMUSG00000030270,179.5735052
ENSMUSG00000024127,179.5189888
ENSMUSG00000027360,179.5143331
ENSMUSG00000032757,179.4615975
ENSMUSG00000038900,179.4255408
ENSMUSG00000037428,179.4174619
ENSMUSG00000055202,179.3123656
ENSMUSG00000020460,179.0974202
ENSMUSG00000074364,179.0181967
ENSMUSG00000030060,179.0090533
ENSMUSG00000051978,178.9520628
ENSMUSG00000027848,178.8957959
ENSMUSG00000001420,178.747787
ENSMUSG00000031546,178.7281422
ENSMUSG00000021223,178.696509
ENSMUSG00000071764,178.5260337
ENSMUSG00000022055,178.4190518
ENSMUSG00000019772,178.3163516
ENSMUSG00000058672,178.1446349
ENSMUSG00000047423,178.1211328
ENSMUSG00000051663,178.0993658
ENSMUSG00000031271,178.0465548
ENSMUSG00000003437,177.9902341
ENSMUSG00000093550,177.7905248
ENSMUSG00000019230,177.7520834
ENSMUSG00000067786,177.7460824
ENSMUSG00000026024,177.7299969
ENSMUSG00000000817,177.6800423
ENSMUSG00000102252,177.4703139
ENSMUSG00000016386,177.3129624
ENSMUSG00000034390,177.2614934
ENSMUSG00000020214,177.1329717
ENSMUSG00000054383,177.0957041
ENSMUSG00000052305,177.0404129
ENSMUSG00000026204,176.9631377
ENSMUSG00000039953,176.9192849
ENSMUSG00000047535,176.8966427
ENSMUSG00000037742,176.8423591
ENSMUSG00000039710,176.5443759
ENSMUSG00000019923,176.4919076
ENSMUSG00000037086,176.4754356
ENSMUSG00000058354,176.4593529
ENSMUSG00000032059,176.4513447
ENSMUSG00000018507,176.3992328
ENSMUSG00000029223,176.3590145
ENSMUSG00000022391,176.337989
ENSMUSG00000073007,176.2893926
ENSMUSG00000043747,176.2839465
ENSMUSG00000023911,176.2281118
ENSMUSG00000040282,176.1965091
ENSMUSG00000074764,176.1798836
ENSMUSG00000031376,176.1292868
ENSMUSG00000021270,176.1061039
ENSMUSG00000029309,176.0814479
ENSMUSG00000078572,176.0237458
ENSMUSG00000024906,175.9416837
ENSMUSG00000037997,175.886143
ENSMUSG00000057047,175.8522745
ENSMUSG00000030161,175.8032857
ENSMUSG00000049723,175.7643515
ENSMUSG00000030125,175.7177723
ENSMUSG00000019877,175.7170115
ENSMUSG00000031703,175.5497028
ENSMUSG00000031862,175.4633429
ENSMUSG00000032324,175.4468623
ENSMUSG00000030610,175.4362122
ENSMUSG00000054161,175.3938185
ENSMUSG00000079539,175.3934164
ENSMUSG00000015837,175.3356991
ENSMUSG00000026274,175.3159761
ENSMUSG00000030058,175.2612446
ENSMUSG00000000958,175.2586238
ENSMUSG00000011752,175.2213965
ENSMUSG00000039485,175.2190424
ENSMUSG00000026247,175.165474
ENSMUSG00000034994,175.153933
ENSMUSG00000024981,175.1414225
ENSMUSG00000006651,175.0872007
ENSMUSG00000025579,175.0577153
ENSMUSG00000038526,175.0526023
ENSMUSG00000024044,175.0316022
ENSMUSG00000030909,175.0102968
ENSMUSG00000036169,174.9965302
ENSMUSG00000008153,174.9898404
ENSMUSG00000020940,174.9663043
ENSMUSG00000046438,174.9608997
ENSMUSG00000025867,174.9530346
ENSMUSG00000060673,174.9283383
ENSMUSG00000071937,174.9111508
ENSMUSG00000022759,174.8706997
ENSMUSG00000009114,174.862617
ENSMUSG00000074227,174.8386179
ENSMUSG00000026576,174.744423
ENSMUSG00000054099,174.7396407
ENSMUSG00000042747,174.7379955
ENSMUSG00000031144,174.7279923
ENSMUSG00000037924,174.691897
ENSMUSG00000026315,174.6848833
ENSMUSG00000093755,174.6433919
ENSMUSG00000029126,174.6428351
ENSMUSG00000020611,174.6136687
ENSMUSG00000016024,174.4672106
ENSMUSG00000027134,174.4651517
ENSMUSG00000029186,174.464897
ENSMUSG00000022247,174.4207502
ENSMUSG00000040809,174.3524043
ENSMUSG00000011958,174.247377
ENSMUSG00000007891,174.2270423
ENSMUSG00000041607,174.2088636
ENSMUSG00000006930,174.1859502
ENSMUSG00000017404,174.1551245
ENSMUSG00000015749,174.0875426
ENSMUSG00000037509,174.0859406
ENSMUSG00000019194,174.0028314
ENSMUSG00000030123,173.8973787
ENSMUSG00000028199,173.8800848
ENSMUSG00000027636,173.8076293
ENSMUSG00000031425,173.7967719
ENSMUSG00000020745,173.7955054
ENSMUSG00000043388,173.7941374
ENSMUSG00000052727,173.6960914
ENSMUSG00000015090,173.5930397
ENSMUSG00000040035,173.5681402
ENSMUSG00000116176,173.5349151
ENSMUSG00000060756,173.361229
ENSMUSG00000074981,173.3320936
ENSMUSG00000050043,173.3049005
ENSMUSG00000031969,173.2953766
ENSMUSG00000013921,173.2935747
ENSMUSG00000030049,173.2832942
ENSMUSG00000022798,173.1978257
ENSMUSG00000040048,173.1890153
ENSMUSG00000045362,173.1752242
ENSMUSG00000006576,173.099184
ENSMUSG00000108841,173.0912537
ENSMUSG00000030737,173.0643066
ENSMUSG00000054589,173.060966
ENSMUSG00000026878,173.0014081
ENSMUSG00000028149,172.9942322
ENSMUSG00000000738,172.9853383
ENSMUSG00000062328,172.9789994
ENSMUSG00000017767,172.9306342
ENSMUSG00000020562,172.9191801
ENSMUSG00000028690,172.8863981
ENSMUSG00000020709,172.8840939
ENSMUSG00000030114,172.8279656
ENSMUSG00000025151,172.7270021
ENSMUSG00000032076,172.6952664
ENSMUSG00000073972,172.6742204
ENSMUSG00000026335,172.6251476
ENSMUSG00000062070,172.5860604
ENSMUSG00000001403,172.5359448
ENSMUSG00000066037,172.5278998
ENSMUSG00000072966,172.4062785
ENSMUSG00000019143,172.4061722
ENSMUSG00000066382,172.3342863
ENSMUSG00000057455,172.2742075
ENSMUSG00000024966,172.2703779
ENSMUSG00000020522,172.261651
ENSMUSG00000021592,172.2504014
ENSMUSG00000028970,172.2121627
ENSMUSG00000031708,172.1345831
ENSMUSG00000040017,172.1299936
ENSMUSG00000037259,172.1005716
ENSMUSG00000053797,172.0930157
ENSMUSG00000070323,172.0520994
ENSMUSG00000034024,172.0284938
ENSMUSG00000071866,172.0219245
ENSMUSG00000047394,171.9644709
ENSMUSG00000069053,171.9373517
ENSMUSG00000035211,171.8662314
ENSMUSG00000070780,171.8435052
ENSMUSG00000028523,171.8253229
ENSMUSG00000033634,171.7725776
ENSMUSG00000032680,171.7626616
ENSMUSG00000058717,171.7345737
ENSMUSG00000002265,171.7123741
ENSMUSG00000013367,171.6767479
ENSMUSG00000027222,171.4986171
ENSMUSG00000074452,171.4676448
ENSMUSG00000069296,171.363872
ENSMUSG00000029298,171.344545
ENSMUSG00000070802,171.323852
ENSMUSG00000002981,171.2607811
ENSMUSG00000073725,171.231856
ENSMUSG00000026193,171.2079344
ENSMUSG00000047261,171.1238012
ENSMUSG00000032392,171.1218855
ENSMUSG00000039886,171.0452549
ENSMUSG00000027270,171.0175544
ENSMUSG00000040225,171.016685
ENSMUSG00000030302,170.9936009
ENSMUSG00000015291,170.9892093
ENSMUSG00000021748,170.9694338
ENSMUSG00000021678,170.8910159
ENSMUSG00000079298,170.8792441
ENSMUSG00000015880,170.8428703
ENSMUSG00000009863,170.8375605
ENSMUSG00000046434,170.8331318
ENSMUSG00000037032,170.7197594
ENSMUSG00000032103,170.7193262
ENSMUSG00000026308,170.7010893
ENSMUSG00000016541,170.6411162
ENSMUSG00000029762,170.6244926
ENSMUSG00000026442,170.6156012
ENSMUSG00000041781,170.5795848
ENSMUSG00000028195,170.531517
ENSMUSG00000005360,170.5312162
ENSMUSG00000046210,170.5138919
ENSMUSG00000020321,170.488226
ENSMUSG00000071519,170.4724947
ENSMUSG00000031207,170.4252466
ENSMUSG00000027447,170.4049445
ENSMUSG00000041025,170.3074854
ENSMUSG00000029587,170.2772559
ENSMUSG00000042800,170.2543727
ENSMUSG00000022199,170.2505514
ENSMUSG00000023484,170.2378466
ENSMUSG00000020128,170.1874055
ENSMUSG00000022548,170.1811057
ENSMUSG00000021177,170.1804457
ENSMUSG00000030500,170.1121314
ENSMUSG00000042641,170.1056405
ENSMUSG00000052684,170.1047335
ENSMUSG00000026959,170.1043224
ENSMUSG00000026303,170.0808534
ENSMUSG00000037771,170.0780043
ENSMUSG00000025094,170.0500209
ENSMUSG00000038147,170.03279
ENSMUSG00000005628,169.973199
ENSMUSG00000059743,169.9689896
ENSMUSG00000042750,169.8944371
ENSMUSG00000020456,169.8671979
ENSMUSG00000074129,169.8593232
ENSMUSG00000023004,169.8345321
ENSMUSG00000028763,169.7772347
ENSMUSG00000097297,169.753078
ENSMUSG00000031023,169.6946125
ENSMUSG00000026679,169.6133685
ENSMUSG00000001270,169.5905832
ENSMUSG00000030775,169.5713565
ENSMUSG00000035183,169.5683076
ENSMUSG00000022661,169.5625163
ENSMUSG00000049791,169.5372242
ENSMUSG00000066129,169.5026237
ENSMUSG00000026605,169.4750035
ENSMUSG00000041986,169.4583408
ENSMUSG00000032135,169.4562505
ENSMUSG00000029291,169.4531331
ENSMUSG00000026125,169.4403557
ENSMUSG00000022454,169.4364095
ENSMUSG00000026031,169.4047736
ENSMUSG00000041757,169.3893477
ENSMUSG00000041205,169.3853291
ENSMUSG00000039278,169.365131
ENSMUSG00000015222,169.3483443
ENSMUSG00000017707,169.3167626
ENSMUSG00000044117,169.3085128
ENSMUSG00000043873,169.2905668
ENSMUSG00000051391,169.2485871
ENSMUSG00000020219,169.227742
ENSMUSG00000101155,169.1375074
ENSMUSG00000050953,169.1311752
ENSMUSG00000024076,169.0124973
ENSMUSG00000027350,168.9957468
ENSMUSG00000054715,168.9592831
ENSMUSG00000017195,168.8840353
ENSMUSG00000034403,168.88016
ENSMUSG00000022884,168.8036388
ENSMUSG00000057228,168.7845012
ENSMUSG00000020340,168.7761033
ENSMUSG00000020349,168.7656665
ENSMUSG00000054423,168.7609783
ENSMUSG00000053390,168.7605102
ENSMUSG00000043913,168.7481001
ENSMUSG00000053769,168.7220493
ENSMUSG00000032288,168.7116636
ENSMUSG00000032688,168.6986007
ENSMUSG00000042254,168.6589735
ENSMUSG00000025423,168.6570222
ENSMUSG00000029437,168.6132204
ENSMUSG00000000088,168.5987419
ENSMUSG00000070943,168.5705533
ENSMUSG00000030127,168.5188387
ENSMUSG00000061614,168.5084581
ENSMUSG00000041096,168.4409652
ENSMUSG00000016349,168.393924
ENSMUSG00000047976,168.3840509
ENSMUSG00000069919,168.36316
ENSMUSG00000019890,168.3342787
ENSMUSG00000025794,168.3234856
ENSMUSG00000016503,168.3221715
ENSMUSG00000089728,168.3029414
ENSMUSG00000024099,168.2867857
ENSMUSG00000035062,168.2862072
ENSMUSG00000070493,168.2844648
ENSMUSG00000070501,168.1880645
ENSMUSG00000022899,168.1623796
ENSMUSG00000069601,168.1343846
ENSMUSG00000005864,168.0590771
ENSMUSG00000025036,168.0298963
ENSMUSG00000030111,168.0149728
ENSMUSG00000055717,167.9748751
ENSMUSG00000032303,167.9585569
ENSMUSG00000026807,167.9287569
ENSMUSG00000020657,167.8608351
ENSMUSG00000015970,167.8523769
ENSMUSG00000030337,167.8400294
ENSMUSG00000115956,167.8083615
ENSMUSG00000034107,167.7662793
ENSMUSG00000093904,167.7596338
ENSMUSG00000026003,167.739807
ENSMUSG00000029608,167.6567126
ENSMUSG00000053626,167.6419093
ENSMUSG00000041406,167.6382257
ENSMUSG00000111727,167.5900426
ENSMUSG00000023274,167.5410656
ENSMUSG00000027108,167.5303232
ENSMUSG00000037217,167.4657459
ENSMUSG00000022551,167.4560705
ENSMUSG00000000263,167.4162194
ENSMUSG00000021774,167.4033394
ENSMUSG00000094613,167.3852889
ENSMUSG00000035783,167.3578006
ENSMUSG00000023122,167.353746
ENSMUSG00000038843,167.3376568
ENSMUSG00000022809,167.3254199
ENSMUSG00000060445,167.2883274
ENSMUSG00000031918,167.2880661
ENSMUSG00000082229,167.2372145
ENSMUSG00000025468,167.0891929
ENSMUSG00000023236,167.0885648
ENSMUSG00000006782,167.0670395
ENSMUSG00000003477,167.065945
ENSMUSG00000034595,167.0405439
ENSMUSG00000024121,166.9929058
ENSMUSG00000014846,166.9810159
ENSMUSG00000042745,166.968372
ENSMUSG00000031996,166.9651237
ENSMUSG00000023267,166.9630362
ENSMUSG00000031007,166.9606853
ENSMUSG00000053192,166.9415104
ENSMUSG00000058806,166.9190347
ENSMUSG00000031220,166.9152991
ENSMUSG00000029816,166.9014692
ENSMUSG00000008489,166.8937882
ENSMUSG00000028072,166.880284
ENSMUSG00000028266,166.8279664
ENSMUSG00000032231,166.8108016
ENSMUSG00000031776,166.7758141
ENSMUSG00000015335,166.7691685
ENSMUSG00000041044,166.7431774
ENSMUSG00000024799,166.6754049
ENSMUSG00000073399,166.670709
ENSMUSG00000079477,166.6459382
ENSMUSG00000027347,166.6238125
ENSMUSG00000062785,166.5904173
ENSMUSG00000064201,166.5728551
ENSMUSG00000021460,166.5406624
ENSMUSG00000043972,166.5323465
ENSMUSG00000015120,166.5283158
ENSMUSG00000031575,166.5251694
ENSMUSG00000028849,166.5170991
ENSMUSG00000000215,166.4506477
ENSMUSG00000079606,166.4224042
ENSMUSG00000020153,166.2915039
ENSMUSG00000059995,166.2914422
ENSMUSG00000041126,166.2846317
ENSMUSG00000019590,166.2644348
ENSMUSG00000023913,166.2604161
ENSMUSG00000024083,166.2461042
ENSMUSG00000111314,166.2426691
ENSMUSG00000010663,166.2354318
ENSMUSG00000005683,166.2227408
ENSMUSG00000002985,166.1484081
ENSMUSG00000006494,166.1370363
ENSMUSG00000039728,166.1296791
ENSMUSG00000027894,166.1076527
ENSMUSG00000003363,166.0832821
ENSMUSG00000056220,166.0709297
ENSMUSG00000054136,166.0593784
ENSMUSG00000045467,166.0546964
ENSMUSG00000029379,166.0075111
ENSMUSG00000026374,166.0023192
ENSMUSG00000027500,166.000324
ENSMUSG00000032336,165.9747191
ENSMUSG00000027562,165.9736759
ENSMUSG00000024268,165.9356448
ENSMUSG00000051392,165.9082659
ENSMUSG00000031483,165.8882462
ENSMUSG00000084135,165.8451141
ENSMUSG00000034645,165.8145163
ENSMUSG00000051185,165.7718837
ENSMUSG00000037996,165.7365698
ENSMUSG00000031904,165.6869401
ENSMUSG00000018567,165.6494259
ENSMUSG00000014776,165.6429905
ENSMUSG00000027490,165.641724
ENSMUSG00000040097,165.6393677
ENSMUSG00000027400,165.6329494
ENSMUSG00000021693,165.5902082
ENSMUSG00000046480,165.5746059
ENSMUSG00000008734,165.5732668
ENSMUSG00000070880,165.5689509
ENSMUSG00000038486,165.5428376
ENSMUSG00000078920,165.5276976
ENSMUSG00000031344,165.5056989
ENSMUSG00000054115,165.4969362
ENSMUSG00000079523,165.4790948
ENSMUSG00000032046,165.4722424
ENSMUSG00000040907,165.4687823
ENSMUSG00000017291,165.4239566
ENSMUSG00000071550,165.423399
ENSMUSG00000032518,165.4189992
ENSMUSG00000055322,165.4156607
ENSMUSG00000061576,165.4052203
ENSMUSG00000023960,165.3844415
ENSMUSG00000090137,165.3592438
ENSMUSG00000030806,165.2913163
ENSMUSG00000110259,165.2887477
ENSMUSG00000037938,165.2816865
ENSMUSG00000040276,165.2452488
ENSMUSG00000030000,165.2270703
ENSMUSG00000078315,165.2111434
ENSMUSG00000020022,165.1969907
ENSMUSG00000040562,165.186543
ENSMUSG00000030007,165.1815872
ENSMUSG00000090176,165.1618566
ENSMUSG00000003072,165.1546821
ENSMUSG00000039252,165.1292231
ENSMUSG00000021506,165.1159283
ENSMUSG00000026623,165.1022206
ENSMUSG00000031101,165.0246221
ENSMUSG00000044349,165.0124114
ENSMUSG00000017466,164.9777939
ENSMUSG00000070983,164.9463455
ENSMUSG00000057863,164.9052835
ENSMUSG00000028618,164.8775158
ENSMUSG00000022956,164.8457176
ENSMUSG00000013593,164.8228084
ENSMUSG00000033948,164.8188028
ENSMUSG00000036564,164.7814403
ENSMUSG00000018593,164.7763886
ENSMUSG00000037351,164.7500092
ENSMUSG00000029195,164.7312895
ENSMUSG00000024647,164.7311538
ENSMUSG00000022816,164.7191427
ENSMUSG00000046826,164.7033457
ENSMUSG00000048922,164.6885505
ENSMUSG00000032309,164.6876855
ENSMUSG00000107235,164.6851872
ENSMUSG00000055095,164.6608717
ENSMUSG00000034765,164.6597275
ENSMUSG00000022367,164.6560233
ENSMUSG00000003617,164.5914068
ENSMUSG00000025964,164.5739187
ENSMUSG00000036751,164.5626483
ENSMUSG00000017754,164.5200577
ENSMUSG00000035200,164.4913832
ENSMUSG00000032338,164.4792522
ENSMUSG00000015869,164.4766667
ENSMUSG00000040714,164.4499184
ENSMUSG00000020430,164.4495588
ENSMUSG00000025261,164.3818792
ENSMUSG00000038545,164.3419348
ENSMUSG00000037979,164.3311085
ENSMUSG00000017400,164.269148
ENSMUSG00000038827,164.2504445
ENSMUSG00000020368,164.2133531
ENSMUSG00000092519,164.1850856
ENSMUSG00000039116,164.1771507
ENSMUSG00000036570,164.1601361
ENSMUSG00000008690,164.1487454
ENSMUSG00000020612,164.1357179
ENSMUSG00000023915,164.1262503
ENSMUSG00000047757,164.0545367
ENSMUSG00000068823,164.0425919
ENSMUSG00000052456,164.0424986
ENSMUSG00000059049,164.0268084
ENSMUSG00000059555,164.0162359
ENSMUSG00000038510,164.0117972
ENSMUSG00000030330,163.9813966
ENSMUSG00000055811,163.950587
ENSMUSG00000025203,163.9445428
ENSMUSG00000068335,163.9369116
ENSMUSG00000005357,163.9336827
ENSMUSG00000094845,163.8989199
ENSMUSG00000028188,163.8898796
ENSMUSG00000026655,163.8671453
ENSMUSG00000058444,163.8662192
ENSMUSG00000010086,163.8237092
ENSMUSG00000003814,163.7792957
ENSMUSG00000003657,163.7339636
ENSMUSG00000039195,163.7076318
ENSMUSG00000007594,163.6992883
ENSMUSG00000039809,163.6927072
ENSMUSG00000074771,163.6765401
ENSMUSG00000006204,163.649275
ENSMUSG00000026426,163.628949
ENSMUSG00000028528,163.6262051
ENSMUSG00000022144,163.6059689
ENSMUSG00000019804,163.5676005
ENSMUSG00000022403,163.5663174
ENSMUSG00000031840,163.5621868
ENSMUSG00000039691,163.5199118
ENSMUSG00000017831,163.5052733
ENSMUSG00000039114,163.49999
ENSMUSG00000022442,163.4885857
ENSMUSG00000022945,163.4612661
ENSMUSG00000023186,163.4437365
ENSMUSG00000025892,163.432959
ENSMUSG00000055407,163.418815
ENSMUSG00000022312,163.392611
ENSMUSG00000023944,163.3913466
ENSMUSG00000093930,163.3811964
ENSMUSG00000040372,163.3786433
ENSMUSG00000028173,163.3767949
ENSMUSG00000046402,163.3699499
ENSMUSG00000039103,163.369162
ENSMUSG00000058420,163.3480525
ENSMUSG00000018865,163.3335143
ENSMUSG00000027316,163.3327982
ENSMUSG00000035829,163.3303055
ENSMUSG00000026866,163.3278848
ENSMUSG00000026750,163.3137314
ENSMUSG00000045983,163.2905251
ENSMUSG00000045824,163.2765089
ENSMUSG00000029616,163.2689978
ENSMUSG00000061577,163.2451055
ENSMUSG00000032733,163.2185131
ENSMUSG00000031748,163.2177463
ENSMUSG00000053729,163.2066798
ENSMUSG00000076438,163.2049769
ENSMUSG00000039347,163.2036826
ENSMUSG00000004768,163.1947275
ENSMUSG00000051952,163.1847961
ENSMUSG00000031765,163.1770135
ENSMUSG00000040563,163.098266
ENSMUSG00000015806,163.0978785
ENSMUSG00000026249,163.0971985
ENSMUSG00000004865,163.0466551
ENSMUSG00000045136,163.0353229
ENSMUSG00000025350,163.0241103
ENSMUSG00000023052,163.0208983
ENSMUSG00000001986,163.0199939
ENSMUSG00000055235,163.0123722
ENSMUSG00000044533,163.012355
ENSMUSG00000028959,163.0082317
ENSMUSG00000039601,162.9978025
ENSMUSG00000030884,162.9690715
ENSMUSG00000027419,162.9217674
ENSMUSG00000032172,162.9163871
ENSMUSG00000050150,162.871701
ENSMUSG00000044469,162.857887
ENSMUSG00000075512,162.8393078
ENSMUSG00000021090,162.8357848
ENSMUSG00000044092,162.8136679
ENSMUSG00000006526,162.7890032
ENSMUSG00000032251,162.7493354
ENSMUSG00000027323,162.7488206
