Ensembl_gene_ID,Avg_TPM,rank
ENSMUSG00000024661,7050.710625,1
ENSMUSG00000071528,4889.885,2
ENSMUSG00000035885,2382.926875,3
ENSMUSG00000072235,2193.884375,4
ENSMUSG00000001175,1983.7225,5
ENSMUSG00000029632,1900.90875,6
ENSMUSG00000042750,1788.176875,7
ENSMUSG00000055839,1757.53625,8
ENSMUSG00000027581,1679.52875,9
ENSMUSG00000061518,1601.75875,10
ENSMUSG00000102627,1339.445438,11
ENSMUSG00000090223,1330.79,12
ENSMUSG00000058672,1329.809375,13
ENSMUSG00000035530,1273.69125,14
ENSMUSG00000023089,1235.4825,15
ENSMUSG00000056201,1220.9375,16
ENSMUSG00000041571,1171.77375,17
ENSMUSG00000016427,1116.32325,18
ENSMUSG00000062591,1113.999875,19
ENSMUSG00000017778,1039.7805,20
ENSMUSG00000020022,1019.86325,21
ENSMUSG00000039016,1011.455938,22
ENSMUSG00000024425,926.397375,23
ENSMUSG00000022055,921.374875,24
ENSMUSG00000020153,918.4410625,25
ENSMUSG00000014294,918.18025,26
ENSMUSG00000057863,891.7123125,27
ENSMUSG00000022658,874.4875625,28
ENSMUSG00000037152,858.43725,29
ENSMUSG00000055302,837.50825,30
ENSMUSG00000007892,835.6675,31
ENSMUSG00000023064,834.202625,32
ENSMUSG00000076432,828.31225,33
ENSMUSG00000011752,774.76475,34
ENSMUSG00000003072,773.913875,35
ENSMUSG00000031231,708.3986875,36
ENSMUSG00000062825,701.094625,37
ENSMUSG00000050608,688.209125,38
ENSMUSG00000072772,654.59875,39
ENSMUSG00000026895,646.321625,40
ENSMUSG00000049422,637.192125,41
ENSMUSG00000014769,627.5565,42
ENSMUSG00000025630,626.7285,43
ENSMUSG00000075702,610.458375,44
ENSMUSG00000058546,597.2354375,45
ENSMUSG00000047187,584.8688125,46
ENSMUSG00000026032,538.2368125,47
ENSMUSG00000115995,537.24125,48
ENSMUSG00000115987,524.797875,49
ENSMUSG00000097830,521.676875,50
ENSMUSG00000095098,501.201125,51
ENSMUSG00000023020,493.2926875,52
ENSMUSG00000039105,492.2970625,53
ENSMUSG00000031950,479.48875,54
ENSMUSG00000054312,469.0195625,55
ENSMUSG00000039278,461.939625,56
ENSMUSG00000043445,459.8593125,57
ENSMUSG00000024091,455.7881875,58
ENSMUSG00000016541,448.9383125,59
ENSMUSG00000038370,446.5880625,60
ENSMUSG00000039615,444.97075,61
ENSMUSG00000006941,431.7344375,62
ENSMUSG00000059734,423.1781875,63
ENSMUSG00000038462,420.546875,64
ENSMUSG00000016559,417.4365625,65
ENSMUSG00000025868,416.82825,66
ENSMUSG00000022982,413.98125,67
ENSMUSG00000044627,404.9965,68
ENSMUSG00000015090,404.87725,69
ENSMUSG00000028081,404.3038125,70
ENSMUSG00000000171,398.6885625,71
ENSMUSG00000054459,384.758625,72
ENSMUSG00000004366,377.6696875,73
ENSMUSG00000027673,373.93375,74
ENSMUSG00000036199,373.864,75
ENSMUSG00000006699,371.5338125,76
