"","target_id","pval","qval","b","se_b","mean_obs","var_obs","tech_var","sigma_sq","smooth_sigma_sq","final_sigma_sq","ext_gene"
"1","ENSMUSG00000048978",5.14261353107305e-21,7.79414506769432e-17,-1.8109276180741,0.192524316522808,7.32940482137028,1.02831638631415,0.00026123182225559,0.0553371868566062,0.0404735101060635,0.0553371868566062,"Nrsn1"
"2","ENSMUSG00000042182",1.67084356919592e-18,1.26616525673667e-14,-1.35575293850499,0.154456994369409,8.28164850302682,0.566311158775744,0.000269443560996918,0.0183447435593371,0.0355160011034505,0.0355160011034505,"Bend6"
"3","ENSMUSG00000019761",2.56125852951424e-17,9.70460856832945e-14,1.52279089284386,0.179892344467639,6.9324675867706,0.701187619735597,0.00383969746579214,0.00306028845562444,0.0447021859313032,0.0447021859313032,"Krt10"
"4","ENSMUSG00000033004",2.27540905898246e-17,9.70460856832945e-14,1.68132377112416,0.198297523060818,6.3720337038055,0.870178695100621,0.00479373800483318,0.0228610221157546,0.0541891234732502,0.0541891234732502,"Mycbp2"
"5","ENSMUSG00000004630",7.8227205031211e-17,2.37122303890607e-13,2.08330767043509,0.249980157977695,5.52583224991949,1.36639332692436,0.00914942036845531,0.0712781696518688,0.0845856987053746,0.0845856987053746,"Pcp2"
"6","ENSMUSG00000033186",3.51845656913278e-16,8.88762129362941e-13,-1.645323164835,0.20177911034383,6.20168998212248,0.8591171559535,0.00243631136352438,0.0563020147998535,0.0586359026931966,0.0586359026931966,"Mzt1"
"7","ENSMUSG00000026112",2.7071306301651e-15,5.86132454725462e-12,-1.63975243564282,0.20746605563553,6.06293513705141,0.856049133026575,0.00212357538832208,0.0596423220711916,0.062439670973125,0.062439670973125,"Coa5"
"8","ENSMUSG00000052684",5.23006913296855e-15,9.90836597240893e-12,1.40420141806908,0.179536663657483,8.06846604149295,0.630214583068875,0.000402760340928786,0.0479473600549616,0.0360604691689199,0.0479473600549616,"Jun"
"9","ENSMUSG00000031425",1.2489583353908e-14,2.10324583679811e-11,-1.20231846443005,0.155923752077988,9.13778304053372,0.450824718071616,9.36821716253261e-05,0.0213485817018593,0.0363746425214916,0.0363746425214916,"Plp1"
"10","ENSMUSG00000050192",1.56313879153268e-14,2.36909315244693e-11,-1.35676712947375,0.176610560150651,7.13311488931014,0.589674661034205,0.00110433633163949,0.0456825986034505,0.0423865491410829,0.0456825986034505,"Eif5a2"
"11","ENSMUSG00000026064",2.53148436416566e-14,3.48792518393588e-11,-1.29517031718047,0.169963867276193,7.59396179941307,0.527097898651545,0.00491669046743517,0.0249058764074838,0.0384148838017841,0.0384148838017841,"Ptp4a1"
"12","ENSMUSG00000028557",3.16377952274629e-14,3.68848018821098e-11,-1.17238969303673,0.154435814215643,8.29843152787727,0.432983418442306,0.000289553999492605,0.0255031219263559,0.0354860770691801,0.0354860770691801,"Rnf11"
"13","ENSMUSG00000068264",3.01996577408343e-14,3.68848018821098e-11,1.4823447731702,0.195110540487452,6.3418302540806,0.692806267446031,0.0021835534231172,0.0398195209300375,0.054918631090841,0.054918631090841,"Ap5s1"
