id,section_data_set_id,structure_id,sum_pixels,sum_expressing_pixels,sum_pixel_intensity,sum_expressing_pixel_intensity,expression_density,expression_energy,voxel_energy_mean,voxel_energy_cv,entrez_id
414003196,69015212,651,1119010,1748.67,50590100,225786,0.0015627,0.201773,0.201773,0.602032,11287
437385831,71495179,651,1400870,5975.39,75726100,818323,0.00426547,0.584152,0.625723,0.738219,11298
460423555,80514039,651,1503670,3897.14,42572600,472043,0.00259176,0.313928,0.313928,0.627692,11298
435447661,71213880,651,1503670,116562,94709900,18347500,0.0775183,12.2019,12.2019,0.250522,11302
418834588,69514524,651,2098140,10342.6,119719000,1328950,0.0049294,0.633394,0.633394,1.1018,11303
455137196,75831755,651,1193420,12963.3,37070600,1796140,0.0108622,1.50503,1.52821,1.48776,11304
140574441,100082777,651,1334700,48801.3,49042100,7846750,0.0365634,5.87902,5.97795,0.221405,11305
144238934,100084917,651,1131950,20765.9,43316000,3288470,0.0183452,2.90513,2.92477,0.188522,11305
418841744,69514530,651,1564590,153049,103826000,22858800,0.0978205,14.61,14.934,0.193997,11305
458953308,78534538,651,1503670,469.869,39865200,55697.2,0.000312482,0.0370409,0.0370409,1.11436,11306
418797702,69514624,651,1309010,33737.4,70485300,4479460,0.0257732,3.42202,3.5008,0.367156,11307
404118695,532610,651,1019770,47136.2,56509100,6587870,0.0462225,6.46016,6.05211,0.567836,11308
412763578,68844474,651,1503570,18024.2,68026300,2310760,0.0119876,1.53685,1.53681,0.271081,11350
434371344,71161531,651,1318560,40417.8,69776200,5839350,0.030653,4.42858,3.9281,0.706894,11350
425440079,70228687,651,1260140,7954.01,52813600,1013320,0.006312,0.804133,0.804631,0.697483,11352
419974331,69549182,651,1293850,6676.76,47046800,968307,0.00516037,0.74839,0.74839,2.03082,11363
441983936,72081416,651,2392340,58802.5,129756000,9863520,0.0245795,4.12295,3.88304,1.1832,11363
438491668,71627813,651,2061300,1220.56,97728100,165792,0.000592131,0.0804305,0.0758051,1.82533,11364
402939556,227161,651,2587710,404532,255572000,76372300,0.156328,29.5135,29.5135,0.131058,11370
407672639,68203485,651,1592980,59796.4,74390900,8329970,0.0375375,5.22917,5.30038,0.810609,11370
408633542,68342390,651,1182950,13145.7,44931800,1643030,0.0111126,1.38893,1.37935,0.582697,11409
411718920,68745137,651,1177970,13905.2,60346800,1753170,0.0118043,1.4883,1.55817,0.773747,11416
427816793,70430802,651,1223920,21931.2,53383800,3048420,0.0179189,2.49071,2.49071,0.325282,11418
446647762,73930838,651,2587710,89566.5,130861000,12272300,0.0346123,4.74255,4.74255,0.304743,11418
461753838,100142536,651,900291,15886.7,29864900,1955780,0.0176462,2.17238,2.21387,0.310101,11418
438533038,71654154,651,1503670,119942,103023000,18268000,0.0797664,12.149,12.149,0.410005,11419
133955801,100041380,651,1398760,5200.25,40854400,744335,0.00371775,0.53214,0.53214,0.462171,11421
139969783,100082328,651,1138420,2035.12,33776500,277841,0.00178768,0.244059,0.239652,0.344626,11421
144590347,100101363,651,1328820,858.3,44678500,124637,0.000645911,0.0937955,0.0937955,0.881201,11421
409339813,68498226,651,1217780,4518.01,46273100,647372,0.00371003,0.531598,0.538778,1.96953,11421
432496590,70919310,651,1398760,17525.9,61573000,3258670,0.0125296,2.32968,2.32968,3.55022,11421
443731212,73512499,651,2587710,39003.8,118083000,6082650,0.0150727,2.35059,2.35059,1.82009,11421
464053797,72109489,651,2587710,14308.6,127059000,1958830,0.00552943,0.756977,0.756977,0.848703,11421
140336634,100082370,651,1643540,114060,80185600,20810100,0.0693991,12.6617,12.6617,0.393436,11423
144354157,100084882,651,1643540,61428.5,72612500,10520200,0.0373757,6.40095,6.40095,0.531297,11423
260394078,77709170,651,3007330,419692,179752000,71148500,0.139556,23.6583,23.6583,0.224096,11423
260394767,77709168,651,3007330,366581,172759000,61122200,0.121896,20.3244,20.3244,0.257988,11423
260395210,77709146,651,2377890,336985,151325000,58613100,0.141716,24.6492,24.6492,0.224718,11423
260401475,77709157,651,2692610,344583,154813000,57545200,0.127973,21.3715,21.3715,0.255269,11423
261143277,78484664,651,3182180,439902,176938000,73751400,0.138239,23.1764,23.1764,0.213852,11423
261148825,78484638,651,3007330,306225,143561000,48439100,0.101826,16.107,16.107,0.277514,11423
261151620,78484646,651,2692610,296667,126657000,47916900,0.110178,17.7957,17.7957,0.33003,11423
261156506,78484642,651,3007330,367884,143769000,58672400,0.122329,19.5098,19.5098,0.255162,11423
261165766,78484648,651,2692610,285049,131343000,45790300,0.105864,17.0059,17.0059,0.331632,11423
262142830,80207033,651,1783420,223730,87434500,35102700,0.12545,19.6828,19.6828,0.206292,11423
262159121,80207031,651,3182180,364642,139383000,55769400,0.114589,17.5255,17.5255,0.203409,11423
413583295,68924841,651,1853360,212694,135764000,37958900,0.114762,20.4811,20.4811,0.276744,11423
426866505,70301082,651,2381320,313375,143897000,46907600,0.131597,19.6982,19.9235,0.169913,11423
410348578,68632142,651,1762040,391.422,58158500,48847,0.000222141,0.0277218,0.0265703,2.75962,11425
421782517,69736400,651,1678360,102882,96505400,14769800,0.0612987,8.80012,8.80004,0.27724,11426
452843475,74990482,651,1084110,10280.6,27021600,1196180,0.00948292,1.10337,1.11401,0.843739,11428
457068356,76135819,651,2024550,60499.8,75694800,7662870,0.0298832,3.78498,3.90872,0.453612,11428
406296181,67978674,651,2587460,236983,168902000,37691300,0.0915891,14.5669,14.5671,0.313776,11429
412768623,68844450,651,1398760,51863.2,66367000,6969970,0.037078,4.98296,4.98296,0.24483,11430
420252531,69549669,651,1398650,21698.6,67983800,2805620,0.015514,2.00595,2.00591,0.44121,11431
406673713,68117992,651,1888330,660.984,67621300,83124.5,0.000350037,0.0440202,0.0440202,1.75086,11432
428615468,70528186,651,1214160,24.2595,39447600,3682.79,2.00E-05,0.00303319,0.00320959,2.40987,11433
437422680,71495209,651,1361200,6963.86,71993500,1020060,0.00511598,0.749382,0.729485,1.39373,11434
454169075,75551465,651,2341810,125899,92383200,18611900,0.0537613,7.94767,7.97708,0.550781,11435
462463772,100146096,651,1413190,507.054,32925600,59045.3,0.000358802,0.0417817,0.0473271,1.21339,11435
140200988,100082360,651,1398760,17191.6,55967500,2678310,0.0122906,1.91477,1.91477,0.49688,11438
144675698,100101403,651,854896,3375.62,23919400,495331,0.00394857,0.579405,0.630296,0.595268,11438
399625258,1173,651,2377890,27610.7,51411300,3262430,0.0116114,1.37199,1.37199,0.51359,11438
399629269,1174,651,1503670,44510.6,46213700,5641760,0.0296013,3.752,3.752,0.503439,11438
457634606,77454722,651,884896,20553.7,24376500,2672120,0.0232272,3.0197,3.11191,0.319902,11438
139874881,100081908,651,1460300,1162.48,28384300,197414,0.000796052,0.135187,0.135292,2.60588,11440
143767004,100084607,651,912708,161.585,22287500,23994.1,0.000177039,0.0262889,0.0320306,1.04864,11440
454169581,75551461,651,2585250,11580.4,58846700,1726850,0.00447944,0.667962,0.66924,1.53533,11440
454219587,75551481,651,1398730,3307.54,35944000,393588,0.00236468,0.28139,0.281396,0.629548,11440
454298036,75651213,651,2587710,9019.4,65534500,1359130,0.00348548,0.525224,0.525224,2.02901,11440
140584656,100082805,651,1123800,857.452,39203100,130004,0.000762992,0.115682,0.116398,0.870642,11441
144291057,100084944,651,1096720,56.728,31606300,8021.68,5.17E-05,0.00731427,0.00628568,1.57419,11441
416617103,69237107,651,1619790,32903.1,98097300,4642550,0.0203132,2.86615,2.88901,0.491432,11441
449203391,74511738,651,1818900,13973,77787500,2076800,0.00768213,1.14179,1.21133,0.745054,11441
455375953,75888752,651,2379330,5738.37,63754300,631587,0.00241176,0.265447,0.26041,0.393243,11443
457951939,77620387,651,1199580,1061.73,29848200,130585,0.000885081,0.108859,0.109047,1.31775,11443
140503430,100082923,651,2118930,15525.1,81053300,2280950,0.00732686,1.07646,1.07169,0.780697,11444
144119601,100085037,651,1194890,41.278,36906600,6695.22,3.45E-05,0.0056032,0.00604219,1.26259,11444
189278319,79122801,651,1783420,2906.79,41761100,313539,0.0016299,0.175808,0.175808,0.458384,11444
189300744,79122777,651,2377890,9914.25,54545100,1010020,0.00416934,0.424755,0.424755,0.597129,11444
189304514,79122789,651,1433730,4352.67,29818600,471259,0.00303591,0.328694,0.328694,0.698464,11444
259742446,79122759,651,1608560,2971.58,32072000,286579,0.00184735,0.178158,0.178158,0.731117,11444
259754235,79122633,651,1538640,2654.35,30595400,258224,0.00172513,0.167827,0.167827,0.549042,11444
261825765,79787945,651,2692610,47691.3,98367800,5993370,0.0177119,2.22586,2.22586,0.475983,11444
261831940,79797920,651,3182180,56111.6,91853700,6705900,0.0176331,2.10733,2.10733,0.494794,11444
261832687,79797918,651,3182180,61982.7,111467000,7713040,0.0194781,2.42382,2.42382,0.349363,11444
261844155,79797914,651,3182180,46976,105055000,5741230,0.0147622,1.80418,1.80418,0.308522,11444
261844277,79797916,651,2692610,28903.8,83781500,3647820,0.0107345,1.35475,1.35475,0.599868,11444
262131164,80212624,651,1853360,25711.2,53504500,3122050,0.0138727,1.68454,1.68454,0.464095,11444
262155985,80212622,651,3182180,43877.8,82622600,5259250,0.0137886,1.65272,1.65272,0.497698,11444
401473569,2098,651,1503670,32738.3,99889900,4358580,0.0217723,2.89864,2.89864,0.392422,11444
401614000,2097,651,2296370,37972,141074000,5147430,0.0165357,2.24155,2.23347,0.505749,11444
461123414,81671342,651,1140510,26538.2,40210400,2571610,0.0232687,2.25479,1.77231,1.24785,11444
461201831,81790724,651,1223920,13492.7,40150400,1615980,0.0110242,1.32033,1.32033,0.290063,11444
429521063,70593133,651,920181,5823.11,45738300,794285,0.00632822,0.863184,0.832165,1.62484,11447
452717487,74988680,651,2587710,21462.4,67982300,2355420,0.00829399,0.910234,0.910234,1.07884,11447
450420306,74634819,651,1293850,408.091,55317300,72832.9,0.000315408,0.0562915,0.0562915,1.63315,11448
455384097,75888738,651,2587710,8805.53,74357400,1000900,0.00340283,0.38679,0.38679,0.617056,11448
429519465,70593134,651,825042,3186.84,33384100,450124,0.00386264,0.545577,0.563182,0.850227,11449
454172780,75551466,651,1953700,3345.81,62202700,396154,0.00171255,0.202771,0.221027,0.637886,11449
409798857,68545033,651,714594,25958.6,31250800,3565480,0.0363263,4.98952,4.8816,0.469636,11450
418882334,69514678,651,885328,63.3082,33770000,7964.58,7.15E-05,0.00899619,0.00952298,1.79779,11451
398017234,60,651,2587710,253084,104153000,35609100,0.0978025,13.7609,13.7609,0.27585,11459
398018537,61,651,1503670,188549,65796200,28089400,0.125393,18.6806,18.6806,0.150508,11459
