id,section_data_set_id,structure_id,sum_pixels,sum_expressing_pixels,sum_pixel_intensity,sum_expressing_pixel_intensity,expression_density,expression_energy,voxel_energy_mean,voxel_energy_cv,entrez_id
437385962,71495179,666,139876,306.894,5728220,41290.5,0.00219405,0.295194,0.295194,0.822434,11298
460423675,80514039,666,139876,228.238,3935730,27680,0.00163172,0.197889,0.197889,0.76065,11298
435447776,71213880,666,139876,5736.15,7452870,885268,0.0410088,6.32895,6.32895,0.404417,11302
418834671,69514524,666,139876,483.674,6402510,62172.8,0.00345788,0.444485,0.444485,0.69688,11303
455137368,75831755,666,139602,1213.02,3719830,166696,0.00868912,1.19409,1.19378,0.446425,11304
140574463,100082777,666,157473,4943.88,4641220,832587,0.0313951,5.28717,6.19299,0.312252,11305
144238945,100084917,666,171664,2889.13,7735020,483773,0.0168301,2.81814,2.79488,0.353072,11305
418841865,69514530,666,86650,8515.21,6423100,1288230,0.0982713,14.867,15.6093,0.0616815,11305
458953472,78534538,666,139876,73.2035,3695660,9217.59,0.000523345,0.0658983,0.0658983,0.514371,11306
418797844,69514624,666,40353.7,241.243,1338000,31257.4,0.0059782,0.774584,0,0,11307
412763705,68844474,666,139876,1700.6,5581830,215790,0.0121579,1.54272,1.54272,0.129821,11350
434372167,71161531,666,139590,4582.01,6060730,682623,0.0328247,4.8902,4.8938,0.417017,11350
425440203,70228687,666,69938,128.683,3150250,16688.8,0.00183996,0.238623,0.238623,0.0134178,11352
419974445,69549182,666,69938,2854.98,3858770,453748,0.0408215,6.48786,6.48786,0.375,11363
441984066,72081416,666,139876,9943.35,8962250,1694650,0.0710869,12.1154,12.1154,0.0240775,11363
438491781,71627813,666,31367.7,12.0464,1827030,1562.73,0.000384038,0.0498199,0,0,11364
402939695,227161,666,139876,18350.7,12496300,3334980,0.131192,23.8424,23.8424,0.0751707,11370
407672733,68203485,666,76150,3218.29,4415370,473505,0.0422625,6.21806,7.26943,0.101322,11370
408633562,68342390,666,52412,1582.89,2119020,214361,0.0302009,4.08992,4.10268,0.27937,11409
411718996,68745137,666,75161.7,1659.07,4317250,217380,0.0220733,2.89217,3.27986,0.0401757,11416
446647949,73930838,666,139876,3011.72,6323750,425040,0.0215314,3.03869,3.03869,0.383774,11418
461753975,100142536,666,108080,1561.01,3353300,192370,0.0144431,1.77989,1.68947,0.282633,11418
438533169,71654154,666,139876,6134.42,9909860,908746,0.0438561,6.49679,6.49679,0.489686,11419
133955833,100041380,666,104907,230.97,2326500,37441.6,0.00220167,0.356903,0.356903,0.981474,11421
139969892,100082328,666,171324,217.044,5174600,30848.8,0.00126686,0.180061,0.181914,0.471997,11421
144590359,100101363,666,34969,27.8109,1129120,4973.6,0.000795301,0.142229,0,0,11421
409339869,68498226,666,137408,1590.78,5405340,214339,0.0115771,1.55988,1.56316,0.201565,11421
432496681,70919310,666,139876,6353.47,6912040,1218650,0.0454222,8.71233,8.71233,1.27904,11421
443731361,73512499,666,139876,10169.7,6751340,1641090,0.0727049,11.7325,11.7325,0.670546,11421
464053896,72109489,666,139876,1678.21,7009400,226891,0.0119979,1.62209,1.62209,0.352747,11421
140336645,100082370,666,209814,22652.8,12742700,4332190,0.107966,20.6477,20.6477,0.199457,11423
144354266,100084882,666,209814,11337.7,10624800,2036210,0.0540371,9.70485,9.70485,0.300436,11423
260394110,77709170,666,244783,36857.1,16502800,6662070,0.15057,27.2162,27.2162,0.221534,11423
260394788,77709168,666,244783,32234.9,15437300,5747210,0.131688,23.4788,23.4788,0.258544,11423
260395236,77709146,666,244783,37898.2,17239200,7002700,0.154824,28.6078,28.6078,0.277645,11423
260401486,77709157,666,244783,24010.8,13553600,4241500,0.09809,17.3276,17.3276,0.568603,11423
261143288,78484664,666,244783,41023.5,16317600,7363310,0.167591,30.081,30.081,0.216461,11423
261148836,78484638,666,244783,19862,11510000,3458210,0.0811411,14.1277,14.1277,0.453525,11423
261151630,78484646,666,244783,27300.9,12877900,4597130,0.111531,18.7804,18.7804,0.300759,11423
261156517,78484642,666,244783,27203.5,11335400,4370740,0.111133,17.8556,17.8556,0.298351,11423
