id,section_data_set_id,structure_id,sum_pixels,sum_expressing_pixels,sum_pixel_intensity,sum_expressing_pixel_intensity,expression_density,expression_energy,voxel_energy_mean,voxel_energy_cv,entrez_id
414003388,69015212,674,34969,94.864,1707810,11743,0.0027128,0.33581,0,0,11287
437386055,71495179,674,34969,205.668,1846640,29274,0.00588145,0.837141,0,0,11298
460423755,80514039,674,34969,103.677,1087710,12249.6,0.00296484,0.350299,0,0,11298
435447869,71213880,674,34969,2458.25,2009230,360264,0.070298,10.3024,0,0,11302
418834724,69514524,674,69938,313.364,4282070,39652.9,0.00448059,0.566973,0.566973,0.890835,11303
455137474,75831755,674,20702.9,179.297,708026,24556.7,0.00866048,1.18615,0,0,11304
140574476,100082777,674,68266.7,2770,2689330,445206,0.0405762,6.52157,6.50306,0.221006,11305
144238952,100084917,674,8986.77,105.062,358404,17074.6,0.0116908,1.89997,0,0,11305
418841931,69514530,674,45306.6,4857.88,2969040,715418,0.107222,15.7906,0,0,11305
458953570,78534538,674,34969,4.34816,1087110,523.17,0.000124343,0.014961,0,0,11306
418797958,69514624,674,32835.3,1617.04,2187380,220815,0.049247,6.72492,0,0,11307
404118967,532610,674,34969,1229.82,1853260,171649,0.0351688,4.9086,0,0,11308
412763767,68844474,674,34969,378.262,1616950,48579,0.0108171,1.3892,0,0,11350
434372253,71161531,674,15524.4,1037.02,1081770,169905,0.0667989,10.9444,0,0,11350
425440279,70228687,674,34969,174.638,1589200,22115.8,0.00499408,0.632442,0,0,11352
419974570,69549182,674,34969,106.178,1326420,14360.9,0.00303635,0.410676,0,0,11363
441984150,72081416,674,67239,2041.09,3666750,335294,0.0303557,4.9866,4.98575,0.127829,11363
438491854,71627813,674,62828.2,193.593,3524120,27018.3,0.00308131,0.430036,0.420176,1.26244,11364
402939793,227161,674,69938,9765.8,6377950,1803690,0.139635,25.7899,25.7899,0.0654255,11370
407672809,68203485,674,69690.7,4433.58,3679540,622256,0.063618,8.92883,8.92,0.76716,11370
408633576,68342390,674,32295,420.207,1211880,51865.6,0.0130115,1.606,0,0,11409
411719044,68745137,674,69663.9,925.455,3804260,114499,0.0132846,1.64359,1.64243,0.452165,11416
427816990,70430802,674,34969,452.774,1234440,60238.3,0.0129479,1.72262,0,0,11418
446648082,73930838,674,69938,1307.42,3099860,173515,0.018694,2.48099,2.48099,0.305292,11418
461754090,100142536,674,32462.6,611.718,1154500,74858.2,0.0188438,2.30599,0,0,11418
438533302,71654154,674,34969,4082.44,3034430,661113,0.116744,18.9057,0,0,11419
133955853,100041380,674,34969,90.6064,1092840,13186.1,0.00259105,0.377081,0,0,11421
139969943,100082328,674,9772.88,25.3303,312428,3497.69,0.0025919,0.357898,0,0,11421
144590373,100101363,674,34969,8.28137,1320210,1343.45,0.00023682,0.0384183,0,0,11421
409339907,68498226,674,8470.22,39.2705,383084,5119.34,0.0046363,0.604392,0,0,11421
432496743,70919310,674,34969,382.691,1766350,55219.2,0.0109437,1.57909,0,0,11421
443731446,73512499,674,69938,675.717,3157210,105619,0.00966166,1.51018,1.51018,0.0366249,11421
464053963,72109489,674,69938,854.738,3593110,140738,0.0122214,2.01232,2.01232,0.814663,11421
140336652,100082370,674,69938,6175.77,3735700,1131330,0.0883035,16.1762,16.1762,0.289023,11423
144354343,100084882,674,69938,3731.08,4180450,663008,0.0533484,9.47994,9.47994,0.15903,11423
260394127,77709170,674,34969,5581.13,2244620,966753,0.159602,27.646,0,0,11423
260394808,77709168,674,34969,4391.15,2401060,757326,0.125573,21.6571,0,0,11423
260395251,77709146,674,34969,5750.39,2443220,1020340,0.164443,29.1784,0,0,11423
260401493,77709157,674,34969,5774.08,2553670,1015830,0.16512,29.0493,0,0,11423
261143295,78484664,674,34969,5566.15,2246220,929175,0.159174,26.5714,0,0,11423
261148843,78484638,674,34969,4160.43,1934170,679621,0.118975,19.4349,0,0,11423
261151637,78484646,674,34969,3673.63,1846670,624833,0.105054,17.8682,0,0,11423
261156524,78484642,674,34969,5420.6,2059330,904186,0.155012,25.8568,0,0,11423
261165815,78484648,674,34969,5771.48,2462860,1027010,0.165046,29.3691,0,0,11423
262142848,80207033,674,34969,5011.85,1942040,788339,0.143323,22.5439,0,0,11423
262159149,80207031,674,34969,4139.65,1689590,621391,0.11838,17.7698,0,0,11423
413583538,68924841,674,69938,7816.8,5140330,1395680,0.111768,19.9559,19.9559,0.206361,11423
426866703,70301082,674,69801.8,9821.68,4737860,1552040,0.140708,22.235,22.235,0.013907,11423
410348713,68632142,674,58162.7,0.14023,2074160,17.4401,2.411e-06,0.00029985,0.000347629,1.41421,11425
421782689,69736400,674,69938,2836.22,3475650,406677,0.0405533,5.81482,5.81482,0.656427,11426
452843686,74990482,674,66234.2,490.456,1762890,56847.5,0.00740487,0.85828,0.831684,0.80875,11428
457068649,76135819,674,23259.3,845.639,927976,106452,0.036357,4.57677,0,0,11428
406296386,67978674,674,69938,5635.21,4532020,877435,0.0805744,12.5459,12.5459,0.477726,11429
412769201,68844450,674,34969,1290.22,1770500,178333,0.0368961,5.09974,0,0,11430
420252798,69549669,674,34969,653.097,1817850,85048.5,0.0186765,2.43211,0,0,11431
406673920,68117992,674,69938,2.58523,2699750,338.651,3.69646e-05,0.00484216,0.00484216,0.836406,11432
428615654,70528186,674,34969,0.660933,1147750,87.7253,1.89005e-05,0.00250866,0,0,11433
437422897,71495209,674,24039.4,1.44071,1302210,212.816,5.99312e-05,0.00885282,0,0,11434
454169324,75551465,674,69860.6,1994.03,2458200,269767,0.028543,3.8615,3.8615,0.0341108,11435
462463797,100146096,674,69793.8,33.3996,1873180,3796.48,0.000478547,0.0543957,0.0543885,0.0904796,11435
140201025,100082360,674,34969,203.887,1783350,32577.3,0.0058305,0.931606,0,0,11438
144675727,100101403,674,33472.8,3.10001,849142,446.131,9.26129e-05,0.0133282,0,0,11438
399625468,1173,674,69938,329.816,1242900,37630.9,0.00471584,0.538061,0.538061,0.312129,11438
399629580,1174,674,34969,556.305,902318,65708.7,0.0159085,1.87905,0,0,11438
