id,section_data_set_id,structure_id,sum_pixels,sum_expressing_pixels,sum_pixel_intensity,sum_expressing_pixel_intensity,expression_density,expression_energy,voxel_energy_mean,voxel_energy_cv,entrez_id
414003457,69015212,682,489566,897.175,22347200,114964,0.00183259,0.234828,0.234828,0.572248,11287
437386167,71495179,682,445691,2770.24,27859600,380396,0.0062156,0.853498,0.890043,0.503639,11298
460423824,80514039,682,489566,1444.22,14061300,174390,0.00295,0.356214,0.356214,0.229629,11298
435447935,71213880,682,489566,43425.9,33655900,6933420,0.0887028,14.1624,14.1624,0.0813873,11302
418834764,69514524,682,699380,2989.22,41609700,376578,0.0042741,0.538446,0.538446,0.937194,11303
455137559,75831755,682,448442,4491.9,14419100,573343,0.0100167,1.27852,1.27266,0.303752,11304
140574481,100082777,682,497554,17217.1,18388900,2722370,0.0346035,5.47151,5.52121,0.141253,11305
144238957,100084917,682,490805,9293.74,18484900,1453860,0.0189357,2.9622,3.02935,0.130236,11305
418841994,69514530,682,551479,56740,37721500,8513990,0.102887,15.4385,15.5884,0.129526,11305
458953668,78534538,682,489566,151.101,13237400,17601.7,0.000308642,0.0359537,0.0359537,1.07492,11306
418798018,69514624,682,487305,13015,27624100,1727680,0.0267082,3.54537,3.54358,0.193674,11307
404119026,532610,682,448637,21748.1,24722700,3013620,0.048476,6.71728,6.37921,0.54515,11308
412763821,68844474,682,489566,5427.17,22604000,690451,0.0110857,1.41033,1.41033,0.216536,11350
434372326,71161531,682,453916,11533.7,26319700,1546530,0.0254093,3.4071,3.10481,0.333416,11350
425440337,70228687,682,482087,2635.19,20405700,334753,0.00546622,0.694383,0.690454,0.57924,11352
419974655,69549182,682,489566,1165.47,17709300,147980,0.00238061,0.302268,0.302268,0.941143,11363
441984222,72081416,682,890183,10343.1,46741500,1692370,0.0116191,1.90115,1.77413,1.3049,11363
438491922,71627813,682,874172,320.278,41411900,42773.4,0.000366379,0.0489302,0.0484186,1.59465,11364
402939855,227161,682,1014100,171167,103787000,32567300,0.168787,32.1145,32.1145,0.0744627,11370
407672853,68203485,682,559197,18768.1,25939600,2587280,0.0335626,4.62678,4.628,0.927011,11370
408633586,68342390,682,485001,4670.73,18821100,573416,0.00963033,1.1823,1.18478,0.385157,11409
411719083,68745137,682,290517,2647,14658900,326918,0.00911136,1.1253,1.1869,0.756726,11416
427817060,70430802,682,489566,9186.04,23129900,1288270,0.0187636,2.63146,2.63146,0.328569,11418
446648184,73930838,682,1014100,41073.2,51388100,5585310,0.0405021,5.50764,5.50764,0.197792,11418
461754182,100142536,682,184689,3795.83,6329600,468338,0.0205526,2.53582,2.85065,0.195591,11418
438533367,71654154,682,489566,44693.4,34081600,6743700,0.0912919,13.7748,13.7748,0.170925,11419
133955865,100041380,682,664411,2541.42,20696300,356874,0.00382508,0.537129,0.537129,0.356816,11421
139970196,100082328,682,500921,1027.98,15136800,141610,0.00205218,0.282699,0.275129,0.286048,11421
144590381,100101363,682,664411,423.631,22468200,60738.6,0.000637604,0.0914172,0.0914172,0.882703,11421
409339935,68498226,682,459936,254.71,16746700,36034.4,0.000553795,0.0783466,0.074919,1.02265,11421
432496784,70919310,682,489566,362.255,21225100,53623.2,0.000739951,0.109532,0.109532,0.869263,11421
443731514,73512499,682,1014100,4986.58,45622100,675648,0.00491724,0.666253,0.666253,1.00247,11421
464054022,72109489,682,1014100,3830.48,49303400,507412,0.00377722,0.500356,0.500356,0.796011,11421
140336657,100082370,682,664411,37713.7,30526900,6659020,0.0567626,10.0224,10.0224,0.17931,11423
144354385,100084882,682,664411,18474.2,26304800,2969640,0.0278054,4.46958,4.46958,0.25209,11423
260394137,77709170,682,1223920,167883,71246500,27939800,0.137168,22.8282,22.8282,0.157172,11423
260394823,77709168,682,1223920,144263,69288400,23731300,0.11787,19.3896,19.3896,0.237375,11423
260395269,77709146,682,839256,118754,52225900,20080100,0.141499,23.926,23.926,0.164065,11423
260401499,77709157,682,979132,129887,55788800,21248500,0.132655,21.7014,21.7014,0.171868,11423
