id,section_data_set_id,structure_id,sum_pixels,sum_expressing_pixels,sum_pixel_intensity,sum_expressing_pixel_intensity,expression_density,expression_energy,voxel_energy_mean,voxel_energy_cv,entrez_id
414003572,69015212,691,594473,756.633,26535100,99079.1,0.00127278,0.166667,0.166667,0.615667,11287
437386254,71495179,691,780338,2692.59,40291600,367363,0.00345054,0.470774,0.513124,0.852301,11298
460423911,80514039,691,839256,2121,23487900,257723,0.00252724,0.307085,0.307085,0.801841,11298
435448029,71213880,691,839256,64941.4,51591900,10168600,0.0773798,12.1162,12.1162,0.217667,11302
418834834,69514524,691,1188950,6556.32,67424800,850546,0.0055144,0.715378,0.715378,1.16174,11303
455137664,75831755,691,584678,7079.05,18223700,1031550,0.0121076,1.7643,1.84084,1.8015,11304
140574489,100082777,691,611410,23870.3,23322700,3846580,0.0390414,6.29133,6.28606,0.245078,11305
144238965,100084917,691,460498,8477.96,16737600,1333760,0.0184104,2.89633,2.8621,0.180922,11305
418842073,69514530,691,881157,82936.2,56711900,12341100,0.0941219,14.0056,14.3957,0.233068,11305
458953797,78534538,691,839256,241.217,21844900,28354.8,0.000287417,0.0337856,0.0337856,1.30347,11306
418798102,69514624,691,748516,18864.1,39335800,2499710,0.025202,3.33956,3.30965,0.432314,11307
404119119,532610,691,536162,24158.3,29933100,3402600,0.0450578,6.34621,5.85,0.612466,11308
412764260,68844474,691,839159,10518.2,38223500,1355940,0.0125342,1.61583,1.61575,0.304328,11350
434372412,71161531,691,709531,23265.1,36314000,3440290,0.0327894,4.84868,4.25381,0.823059,11350
425440411,70228687,691,673148,5015.5,27668500,639763,0.00745082,0.950405,0.957403,0.680837,11352
419974742,69549182,691,699380,2550.14,24152400,352218,0.00364629,0.503614,0.503614,1.13471,11363
441984301,72081416,691,1295050,36475,70385100,6141200,0.028165,4.74207,4.55031,1.11052,11363
438492055,71627813,691,1092930,694.643,50965100,94437.2,0.000635577,0.086407,0.076582,1.54164,11364
402939938,227161,691,1363790,205248,132910000,38666300,0.150498,28.3521,28.3521,0.129771,11370
407672927,68203485,691,887942,33376.5,40356400,4646930,0.0375885,5.23337,5.28425,0.817079,11370
408633600,68342390,691,613239,6471.84,22779800,803388,0.0105535,1.31007,1.20587,0.242779,11409
411719136,68745137,691,742627,8673.64,37566500,1094380,0.0116797,1.47365,1.51213,0.843333,11416
427817142,70430802,691,699380,12292.3,29019500,1699910,0.0175761,2.43059,2.43059,0.322296,11418
446648273,73930838,691,1363790,44174.2,70049700,6088470,0.0323907,4.46437,4.46437,0.30996,11418
461754278,100142536,691,575060,9918.16,19027500,1220210,0.0172472,2.12188,2.14022,0.310699,11418
